Feature,Importance
Log Votes,0.49810422177179653
Votes,0.48181456295191777
Address Length,0.006396811755325658
Restaurant Name Length,0.004704137224696418
Price range,0.00403806400920282
Has Online Delivery Encoded,0.003109926287116889
Has Table Booking Encoded,0.00183227599994382
