Cuisines,Total_Votes,Restaurant_Count,Average_Rating
"Finger Food, Italian, North Indian",2136,2,4.1
German,2103,3,4.166666666666667
"Finger Food, American, Continental, North Indian, Italian",2093,1,4.6
"North Indian, Mediterranean, Asian",2070,3,3.8333333333333335
BBQ,2059,9,3.9777777777777774
"North Indian, Continental, Asian",2055,8,3.7375
"North Indian, European, Asian, Mediterranean",2053,2,3.75
"European, Continental",2049,5,3.66
"Cafe, Fast Food",2046,18,3.461111111111111
"Biryani, North Indian",2035,18,2.5388888888888888
"Healthy Food, Salad",2030,8,3.7
"Desserts, Ice Cream",2020,26,3.2961538461538464
"North Indian, Chinese, Mediterranean",2015,2,4.6
"Asian, Japanese, Chinese, Thai",2003,1,3.9
"Bengali, Seafood",1999,2,4.1
Pub Food,1998,1,4.4
"Continental, Italian, American",1980,1,4.1
"Cafe, Italian",1970,12,3.5833333333333335
"Mediterranean, Mexican, North Indian, American",1949,1,4.1
"Modern Indian, North Indian",1928,2,4.35
"Continental, North Indian, Mughlai, Burmese",1906,2,4.3
"Finger Food, Continental, North Indian, Italian, Chinese",1902,1,3.7
"Biryani, North Indian, Hyderabadi",1882,3,3.9666666666666663
"North Indian, Chinese, Cafe",1881,3,3.6333333333333333
"Mexican, Vegetarian",1868,1,4.5
"Continental, American, Tex-Mex, North Indian",1863,1,3.5
"Cafe, Continental, North Indian, Chinese",1859,1,4.2
"Continental, Asian, Italian, Mediterranean, Burger",1845,1,3.8
"Cafe, Continental, Italian",1830,10,4.08
"American, Southern, Southwestern",1821,1,4.5
"Italian, Mexican, Chinese, Thai, North Indian",1820,1,4.0
"American, Breakfast",1815,7,3.814285714285714
"Beverages, Fast Food",1815,15,2.4
"European, Italian, Desserts",1810,1,4.2
"Continental, North Indian, Italian, Chinese",1809,1,4.2
"American, Seafood, Southern",1803,1,4.4
"Finger Food, North Indian, Continental, Italian",1801,1,3.7
"North Indian, Continental, Goan",1774,2,4.25
"North Indian, South Indian, Chinese",1765,46,1.9434782608695653
"South Indian, Chettinad",1763,2,3.5
"North Indian, Mughlai, Biryani",1760,8,3.5749999999999997
"Continental, American, Italian, Bakery",1756,1,3.9
Beverages,1751,54,2.4833333333333334
"Cuban, Spanish",1746,1,4.4
"American, Southern",1740,4,4.225
"Continental, Chinese, North Indian",1733,7,3.042857142857143
"North Indian, Street Food",1724,22,2.6954545454545453
"Chinese, North Indian, Mughlai, Continental",1722,3,3.266666666666667
"Chinese, Dim Sum",1721,2,4.75
"Mexican, American, Italian",1720,2,4.199999999999999
"International, Italian, Southern",1715,1,4.8
"American, Asian, European, Seafood",1691,1,4.6
"Continental, North Indian, Italian, Seafood, Goan",1681,1,3.5
Breakfast,1655,4,3.9
"Cafe, Italian, Lebanese, Continental, Mediterranean",1653,1,4.1
"North Indian, Chinese, South Indian, Seafood, Chettinad",1651,4,3.65
"Gujarati, Rajasthani",1635,2,3.25
"Fast Food, Beverages, Desserts",1607,2,2.1
"European, Cafe, Italian",1607,1,4.3
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",1589,8,3.1125
"Italian, German, Continental",1583,1,4.0
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",1582,1,4.2
"North Indian, Mediterranean, Chinese",1566,1,3.6
"Cafe, Italian, Continental, Chinese",1563,2,3.5
"Cafe, Continental, Italian, Mexican, Chinese, American",1563,1,4.7
"Biryani, North Indian, Mughlai",1558,5,3.44
"Continental, American",1544,5,3.9200000000000004
"Cafe, Desserts",1530,9,3.433333333333333
"North Indian, Continental, Finger Food",1527,2,3.75
"Desserts, Beverages",1505,14,2.8642857142857143
"Continental, Cafe, Italian, Desserts",1504,1,4.4
"Pizza, Italian, Cafe",1503,1,3.9
"Cafe, Fast Food, Street Food",1500,2,3.95
"Italian, Pizza, Bakery",1496,8,2.6625
"North Indian, Asian",1493,2,4.2
"Continental, Chinese, Thai, Mughlai, North Indian",1485,2,3.8499999999999996
"Street Food, North Indian, Chinese, Continental",1485,1,3.9
"North Indian, Chinese, Mexican, Italian",1484,1,4.4
"Cafe, Italian, Coffee and Tea, Western, Indonesian",1476,1,4.6
"American, Sandwich, Tea",1457,1,4.9
"Indian, Rajasthani",1448,1,4.1
"Asian, Thai",1441,3,3.966666666666667
"Mexican, American, Tex-Mex",1439,1,4.5
"Breakfast, Sandwich",1437,2,4.4
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",1431,1,4.1
"Finger Food, North Indian",1429,2,3.7
"American, Italian, North Indian, Chinese, Lebanese",1428,1,3.6
"Sandwich, Seafood, Cajun",1428,2,4.65
"Continental, Middle Eastern, Asian",1424,1,4.8
"Italian, Deli",1424,1,4.9
"European, German",1413,1,4.9
Cajun,1412,1,4.7
"Burger, Sandwich, Seafood",1408,1,4.4
Restaurant Cafe,1407,2,3.85
European,1382,7,3.314285714285714
"Street Food, North Indian, South Indian, Chinese, Mithai",1380,2,3.8
"Fast Food, North Indian",1379,46,2.373913043478261
Steak,1379,7,4.185714285714286
"North Indian, Mexican, Italian, Continental",1379,1,3.9
"Lebanese, Mediterranean, Middle Eastern, Arabian",1371,3,3.8666666666666667
"Chinese, Thai, Continental, North Indian",1368,2,3.75
"North Indian, Continental, Chinese",1368,18,2.7222222222222223
"North Indian, Mughlai, Asian, Continental",1365,1,3.9
"Filipino, Mexican",1364,2,4.85
"North Indian, Italian, Continental, Chinese",1363,1,3.3
"Italian, Mediterranean",1347,1,3.8
"Pizza, Sandwich",1345,5,4.14
"Hawaiian, Seafood",1343,1,4.9
"Chinese, Asian, Thai",1343,5,3.7600000000000002
"American, Sandwich, Salad",1341,1,4.7
"American, Italian",1333,5,2.82
"South Indian, North Indian",1331,19,2.9894736842105263
"Cafe, Italian, Continental, Fast Food",1327,1,4.3
"BBQ, Caribbean, Seafood",1321,1,4.6
"Italian, Continental, Mexican, North Indian",1316,1,3.9
"Desserts, B�_rek",1305,1,4.7
"Fast Food, North Indian, Chinese",1305,11,2.7545454545454544
"Cafe, European",1296,5,4.0
"North Indian, Chinese, South Indian",1295,34,1.9382352941176473
"New American, Tapas",1293,1,4.6
"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1286,1,3.9
"Finger Food, North Indian, Italian",1281,5,3.44
"Japanese, Steak, Sushi",1275,8,3.725
"American, Seafood, Sushi",1270,1,4.0
"North Indian, Mediterranean, Asian, Arabian",1267,1,4.6
"Continental, North Indian, Chinese",1263,10,3.54
"Chinese, Thai, Asian",1255,8,3.55
"American, BBQ, Sandwich",1252,1,4.9
"Cafe, Bakery, Desserts",1248,6,4.166666666666667
"Cafe, Continental, Chinese, Italian",1248,2,4.199999999999999
"American, Pizza, Bar Food",1226,3,4.166666666666667
"Italian, Continental, Goan",1221,1,3.7
"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1220,2,3.8
"Biryani, North Indian, Chinese, Mughlai",1219,1,4.6
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1210,1,4.5
"European, Pizza",1207,1,4.1
"Chinese, Thai, Japanese",1206,3,4.1000000000000005
"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1203,1,4.0
"Breakfast, Mexican",1203,1,4.5
Filipino,1201,3,4.5
"Japanese, Thai, Italian, Asian",1199,2,3.65
"European, Italian, Cafe",1199,1,4.1
"Seafood, Sushi",1199,2,4.15
"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",1198,1,3.5
"Continental, North Indian, European, Finger Food",1193,1,4.2
French,1192,7,4.185714285714286
"Italian, North Indian, Chinese, Mughlai",1181,2,3.75
"American, Mexican",1180,3,3.466666666666667
Bar Food,1166,3,4.233333333333333
"North Indian, European",1164,5,3.62
"Breakfast, Burger",1160,3,3.6666666666666665
"Peranakan, Indonesian",1159,1,4.0
"North Indian, Chinese, Mughlai, Italian",1158,1,3.8
Hawaiian,1151,1,4.5
"North Indian, Continental, Chinese, Italian",1149,3,3.8333333333333335
"Continental, American, Italian",1146,3,3.766666666666667
"Finger Food, Italian, Spanish, Greek",1143,1,4.1
"North Indian, Italian, Chinese",1141,6,2.8666666666666667
"Tibetan, Chinese",1139,13,2.161538461538462
"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",1138,1,4.5
"Burger, Bar Food",1138,2,3.95
"Continental, Mexican",1136,1,4.6
"European, Italian",1136,4,3.75
"Italian, North Indian, Continental",1132,3,3.4333333333333336
"North Indian, Mediterranean, Asian, Fast Food",1129,1,4.3
"Cafe, Chinese, Continental",1126,1,4.0
"Chinese, Continental, North Indian",1125,6,2.85
"North Indian, Continental, Chinese, Italian, Mexican",1121,1,4.3
"Burger, American, Fast Food",1118,6,3.85
"Goan, Seafood, Chinese, North Indian",1115,1,4.4
"North Indian, Mughlai, Chinese, Continental",1112,3,3.766666666666667
"North Indian, Biryani, Chinese, Fast Food",1111,5,3.66
Mediterranean,1108,4,3.0250000000000004
"American, Burger, Sandwich",1104,4,3.85
"Italian, Mexican, American, Mediterranean",1103,1,4.2
"Finger Food, Continental, North Indian, Chinese",1099,1,3.1
Turkish,1099,4,3.4
"Italian, European, Cafe",1093,1,4.0
"Cafe, Italian, Chinese, Continental",1089,2,3.9
"North Indian, Chinese, Mediterranean, Asian, Continental",1088,1,3.9
Korean,1084,6,3.716666666666667
"American, Asian, Burger",1078,1,4.6
"North Indian, South Indian, Street Food, Mithai",1059,4,3.175
"Mughlai, Lucknowi",1057,1,4.9
"Tibetan, Nepalese",1048,2,3.6500000000000004
"Mediterranean, European, American, North Indian",1046,1,3.8
