Cuisines,Total_Votes,Restaurant_Count,Average_Rating
"North Indian, Mughlai, South Indian, Rajasthani, Street Food",496,1,3.6
"Asian, Sushi, Thai",496,1,4.1
"North Indian, Continental, Chinese, Japanese, Italian, Thai",490,1,3.9
"American, Seafood, Cajun",489,1,4.6
"American, Ice Cream, Desserts",488,1,4.2
"Seafood, Western",483,2,3.7
"Pakistani, Indian",481,2,3.9
"North Indian, South Indian, Street Food, Bakery",481,2,4.25
"American, Italian, Cafe",480,1,3.6
"Lebanese, Italian",479,1,4.3
"Caribbean, Seafood, Steak",479,1,3.5
"North Indian, Chinese, South Indian, Chinese",472,2,3.7
"Chinese, Mughlai, North Indian",472,11,2.090909090909091
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",467,1,4.1
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",467,4,3.725
"Chinese, North Indian, Mughlai",467,8,2.5625
"Seafood, Japanese, Sushi",466,1,4.4
"International, Southern",465,1,4.1
"Cafe, Italian, Chinese, North Indian",464,2,3.65
"North Indian, Italian",462,3,3.933333333333333
"Healthy Food, European, Continental, Salad",461,1,3.6
"North Indian, Hyderabadi, Kashmiri, Chinese",460,1,4.0
"North Indian, Chinese, South Indian, Mithai",460,5,3.04
Goan,458,2,3.25
"Cafe, Western",458,1,4.3
"Coffee and Tea, Desserts",456,1,4.3
"Asian, North Indian",456,2,3.9499999999999997
"North Indian, French, Continental",456,1,3.8
"Bar Food, Sandwich, Seafood",456,1,4.0
Maharashtrian,455,6,3.533333333333333
"Chinese, Japanese",449,2,3.4
"Kerala, South Indian",447,3,2.266666666666667
"Arabian, Middle Eastern",444,1,4.2
"Mughlai, Biryani",443,8,2.5375
"North Indian, Mughlai, Biryani, Bengali",443,1,3.5
"European, Contemporary",441,1,4.9
"American, BBQ, Burger",439,2,3.85
Gujarati,439,3,3.8333333333333335
"Italian, Continental, North Indian, Chinese",433,2,3.0
"Southern, Cajun, Soul Food",432,1,3.6
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",432,1,3.8
"Italian, North Indian, Chinese",431,1,3.4
"North Indian, South Indian, Fast Food",431,9,2.7666666666666666
"Desserts, Italian, Pizza",430,1,4.1
"Cafe, Fast Food, Italian, Mexican",430,1,3.9
"Grill, Steak, Burger, Sushi, Tapas",430,1,4.3
"Continental, Chinese, Italian, Cafe",430,1,3.4
"Cafe, Mexican, Italian, North Indian, Chinese",429,1,3.8
"Chinese, Japanese, Thai",429,4,3.5
"Continental, Italian, Thai, Finger Food",428,1,4.0
"Indian, Curry",426,2,4.3
"North Indian, Chinese, Mexican, Beverages",424,1,3.8
"Finger Food, European, North Indian",422,1,3.5
"North Indian, Chinese, Continental, Rajasthani",420,1,4.5
"Mexican, American",420,1,4.2
"Chinese, Thai, Tibetan, Japanese",419,1,3.9
"North Indian, Fast Food, Chinese, Biryani, Mughlai",418,1,3.8
"Ramen, Japanese",418,1,4.6
"North Indian, Mediterranean, Continental",417,2,3.4000000000000004
"Healthy Food, Continental, Juices, Salad",416,2,3.55
"Street Food, Beverages",415,3,3.5
"Goan, Seafood, Chinese",414,1,4.2
"Cafe, North Indian, Chinese",414,9,3.644444444444445
"American, Burger, Fast Food",413,1,4.6
"Chinese, Tibetan, Japanese",412,1,3.6
"North Indian, Chinese, Finger Food",408,4,3.3
"Chinese, Japanese, Sushi",407,1,4.5
"Chinese, Thai, Tibetan",406,1,4.2
"Cafe, Desserts, Bakery",405,2,3.65
"Cafe, Beverages, Desserts, Pizza",404,1,4.0
"Continental, North Indian, Chinese, European, Asian",401,1,3.9
"North Indian, Continental, European, Chinese, Thai",400,1,4.3
"Chinese, Continental",397,3,3.6999999999999997
"North Indian, Mughlai, Mexican, Thai",395,1,4.1
"Continental, Italian, Pizza, Asian",395,1,4.6
"North Indian, Kerala, Chinese, Continental",394,1,4.2
"Japanese, Sushi, Teriyaki",393,1,4.1
"North Indian, Andhra, Mughlai",393,1,3.7
"American, Continental, Italian, Bakery",393,1,3.7
"Cafe, Bakery, American, Italian",392,1,4.4
"North Indian, Mughlai, Chinese, Fast Food",392,8,2.5875
"North Indian, Italian, Chinese, American",391,1,4.4
"Raw Meats, Fast Food",391,44,1.8340909090909092
"Cafe, North Indian, Italian, Japanese, Fast Food",391,1,3.6
"North Indian, Italian, Chinese, Thai",391,1,3.4
"Burger, American",388,3,4.033333333333334
"Continental, North Indian, Mughlai, Italian",387,1,4.1
"South Indian, Biryani",384,3,1.5
"Taiwanese, Street Food",384,2,4.65
"North Indian, Chinese, Thai, Italian, Middle Eastern",384,1,3.5
"Chinese, Japanese, Thai, Asian",384,1,3.5
"Mediterranean, Seafood",381,1,4.4
"Lebanese, Arabian, Middle Eastern",380,1,4.0
"Mediterranean, Tapas, Vegetarian",380,1,4.0
"American, Continental, North Indian, Chinese",379,1,3.7
"European, Italian, Mediterranean",379,1,4.2
"Chinese, Thai, Japanese, Tibetan",378,2,3.3499999999999996
"Cafe, American, Italian, Continental",377,1,4.1
"North Indian, Continental, Fast Food",376,3,3.1666666666666665
"North Indian, South Indian, Asian, Continental",375,1,3.6
"Desserts, Latin American, Argentine",374,1,4.1
"Cafe, Mediterranean",374,1,4.1
African,373,1,4.7
"Indian, Mughlai, South Indian, Biryani",372,1,4.1
"Cafe, North Indian, Chinese, Continental",372,2,3.35
"Desserts, Sandwich, Southern",372,1,3.9
"South Indian, North Indian, Street Food, Chinese, Mithai",368,1,3.5
"Cafe, Italian, North Indian",365,1,3.6
"European, Continental, North Indian",364,2,3.55
"Street Food, Chinese, North Indian",364,2,1.8
"Bakery, Cafe",363,3,3.9
"American, Italian, North Indian, European, Thai",361,1,4.2
"Healthy Food, Continental, Italian",361,1,4.0
"Chinese, Thai, Sushi",361,2,3.95
"Italian, Seafood, Vegetarian",360,1,4.4
"North Indian, Maharashtrian",357,2,3.7
"Desserts, American",356,1,4.0
"Indian, North Indian, Mughlai, Biryani",355,1,4.0
"Chinese, Mangalorean",355,1,3.7
Kebab,355,2,4.55
"Steak, American",354,2,3.8
"BBQ, Southern",353,1,4.0
Vietnamese,353,2,4.05
"American, Italian, Chinese",353,1,4.1
"Hyderabadi, North Indian, Biryani",352,2,3.6999999999999997
"Breakfast, Coffee and Tea, Modern Australian",351,1,3.7
"North Indian, South Indian, Street Food",350,3,2.5
"American, European, Sandwich",350,1,4.2
Sandwich,350,1,4.1
"Cafe, Continental, Italian, Chinese, North Indian",349,1,4.2
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",349,1,3.5
"Fast Food, Pizza",348,11,2.0272727272727273
"Kerala, South Indian, Chinese, Biryani",348,1,3.5
"Chinese, North Indian, Italian, Fast Food",346,1,3.6
"North Indian, Mangalorean, Chinese",345,1,4.0
"Desserts, Cafe, Mexican",344,1,4.7
"Cafe, Continental, Italian, Street Food",341,1,4.0
"Sushi, Thai",340,1,4.0
Bihari,340,3,3.4333333333333336
"Modern Australian, Australian",339,1,4.4
"Burger, Fast Food, Chinese",338,3,2.1333333333333333
"Chinese, North Indian, Cafe",338,1,3.7
"Seafood, South Indian, Andhra, Hyderabadi, Goan",336,1,4.2
"Burger, Seafood, Steak",332,3,3.5333333333333337
"Breakfast, French",332,1,3.8
"Middle Eastern, Mediterranean, North Indian",330,2,3.4000000000000004
"North Indian, Chinese, Thai, Continental",328,1,3.6
"French, Continental, North Indian",328,1,3.5
"Chinese, Cafe, North Indian, Desserts",326,1,3.9
"American, Tex-Mex, Italian, Mexican, North Indian",326,2,2.5999999999999996
"North Indian, Continental, Thai, Chinese",326,1,3.5
"Burger, Seafood",326,1,4.0
"Pizza, Sandwich, Vegetarian",323,1,3.8
"Indian, South Indian",323,2,3.7
"Kerala, Indian, Chinese, Bakery",322,1,4.0
"Portuguese, African, Lebanese",322,1,4.0
"Italian, Bakery, Continental",322,1,4.9
"Cafe, Italian, Continental, Desserts",320,1,3.9
"Italian, Mexican, Mediterranean",319,1,4.2
"South Indian, Chettinad, North Indian",318,1,3.9
"Street Food, Fast Food, North Indian",317,1,3.8
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",317,1,4.4
"North Indian, Italian, Chinese, Fast Food",317,2,3.8
"American, Greek, Seafood",316,1,4.0
"Asian, Chinese, Japanese",316,1,4.2
"French, Japanese, Desserts",314,1,4.8
"Continental, Healthy Food",314,6,3.75
"Continental, Cafe, Desserts, Bakery",312,1,4.3
"Japanese, Chinese, Thai",309,2,3.7
Oriya,308,2,3.25
"Desserts, Fast Food",306,6,3.2166666666666663
"North Indian, North Eastern, Continental",306,1,4.2
"North Indian, Continental, Asian, Chinese, Thai",305,1,3.6
"Indian, Cafe, Curry",305,1,4.5
"Mughlai, Street Food",305,1,4.4
"Chinese, Asian, Mediterranean, Continental",305,1,3.9
"North Indian, Mediterranean, European, Asian, Chinese, Pizza",305,1,3.8
"Chinese, Seafood, Japanese",304,3,2.8333333333333335
"Greek, Lebanese",304,1,4.2
"Thai, Asian",303,2,4.05
"Asian, Thai, Vegetarian",303,1,4.0
"European, Spanish",303,1,4.3
"Seafood, French",302,1,4.6
"American, Tapas",302,1,4.1
"Street Food, Burger, American, Finger Food, German",301,1,4.4
Naga,301,3,3.6
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",300,1,4.1
"North Indian, Mughlai, Lebanese",300,1,3.8
"Continental, Kashmiri, Italian, North Indian, Moroccan",300,1,3.6
"North Indian, Lebanese, European, Mexican",299,1,3.9
"Burger, American, Grill",298,1,4.1
"North Indian, Chinese, Continental, Thai",298,3,3.4
"Street Food, Mithai",296,18,1.9666666666666666
"Kebab, Izgara",296,1,4.4
"Italian, Mexican, Cafe",296,1,3.6
"North Indian, Kashmiri, Chinese, Thai, Korean",295,1,3.9
"Hyderabadi, Biryani, North Indian",295,1,4.2
"American, Seafood",293,1,4.1
"Italian, Pizza, Seafood",292,1,3.7
"Finger Food, Continental, North Indian",290,1,3.8
"Japanese, Thai, Sushi",290,1,3.9
"Burger, Desserts, Bar Food",289,1,4.5
"Breakfast, Burger, Sandwich",289,1,3.7
"North Indian, Chinese, Fast Food, Cafe",288,1,3.9
"European, South African, Steak",287,1,4.5
"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",287,1,3.9
"American, Fast Food, Steak, Beverages",286,1,4.2
"Indian, North Indian, South Indian, Chinese",285,1,3.9
"Chinese, Thai, Fast Food",285,4,2.8
"North Indian, Mughlai, Chinese, Italian",285,2,3.55
"Kebab, Desserts, Turkish Pizza",283,2,4.300000000000001
"Chinese, North Indian, Italian",283,4,2.475
"Indian, North Indian, Street Food",281,1,4.4
"Bakery, Desserts, Beverages",281,3,3.633333333333333
"North Indian, Mughlai, Chinese, Bakery",281,1,3.7
"Burger, Bar Food, Vegetarian",281,1,3.8
"Chinese, Fast Food, North Indian, South Indian",280,1,3.4
"North Indian, Fast Food, Italian, Chinese, Cafe",280,1,3.8
"Raw Meats, North Indian, Chinese, Fast Food",280,1,3.7
"Healthy Food, Continental",280,4,3.475
"Seafood, African, Sushi",280,1,3.8
"Italian, French, Cafe",280,1,4.5
"Italian, Lebanese, North Indian",278,1,3.5
"Goan, Seafood",277,1,3.7
"Pakistani, Afghani, Indian, Hyderabadi",277,1,4.0
"North Indian, Chinese, Italian, Lebanese, Mexican",277,1,4.0
"Continental, American, Italian, North Indian, Chinese, Cafe",276,1,4.7
"Italian, Mexican, Continental",276,1,4.4
"British, French",275,1,4.4
Pakistani,272,2,4.0
"North Indian, Chinese, South Indian, Italian",272,1,3.9
"Kiwi, European",271,1,4.2
"Seafood, Asian, Filipino, Indian",270,1,4.4
"BBQ, Burger, Seafood",270,2,3.6999999999999997
"Mughlai, Chinese, North Indian",270,2,3.35
"Continental, North Indian, Thai, Chinese",270,1,4.3
"Cafe, Fast Food, Desserts",268,2,3.5999999999999996
"Asian, Chinese, Thai, Japanese",268,1,4.7
"Italian, North Indian",267,2,1.7
Contemporary,265,1,4.5
"Burger, Fast Food, Desserts, Beverages",265,1,4.0
"African, Portuguese",265,1,4.2
"Mughlai, North Indian, South Indian",265,1,3.9
"Asian, Chinese, Thai, Vietnamese",264,1,4.2
"North Indian, Chinese, Turkish",263,1,3.8
"Assamese, Chinese",263,2,3.15
"Indian, Middle Eastern",263,2,3.5
"Seafood, Italian",262,2,3.95
"Italian, North Indian, South Indian",262,1,3.7
"Continental, Chinese, Italian, Bakery",261,1,4.2
"Cafe, Continental, North Indian",261,1,3.6
"Chinese, Continental, North Indian, Mughlai",260,1,3.7
"American, European, North Indian",259,1,3.5
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",259,1,4.0
"Pizza, Mexican, Chinese, Italian",259,1,4.0
"Western, Asian, Cafe",259,1,4.2
"Grill, Burger",258,1,4.1
Latin American,257,2,4.3
"American, Steak",257,3,3.8333333333333335
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",256,1,4.0
"Cafe, Italian, Mexican, Bakery",256,1,4.1
"Cafe, Continental, Italian, Pizza",255,1,4.1
"Mexican, Italian, North Indian, Chinese",254,1,3.6
"Cafe, Chinese, Fast Food, Seafood",253,1,3.8
"Breakfast, Diner",253,1,3.6
"Fast Food, North Indian, South Indian",252,3,0.7333333333333334
"Cafe, Healthy Food, Continental",252,2,3.8
"Cafe, Continental, Chinese",251,4,2.725
"Cafe, Bakery, Italian",251,1,4.1
"Seafood, Tapas, Bar Food",250,1,3.8
"Fast Food, Italian, Pizza",249,4,3.525
"BBQ, Breakfast, Southern",249,1,4.9
"European, North Indian",249,2,3.55
"Continental, South Indian",249,1,3.8
"Continental, North Indian, Chinese, Italian",248,1,4.2
"Japanese, Steak",247,1,3.9
"North Indian, Mughlai, Italian, Chinese",247,1,3.5
"North Indian, Fast Food, Continental",246,1,3.4
"Fast Food, Biryani",246,1,4.0
"Thai, Japanese, Chinese, Indonesian, Vietnamese",246,1,4.4
"British, Contemporary",246,2,4.3
"Lebanese, Mediterranean, Arabian",246,1,3.5
"Ice Cream, Desserts, Beverages",246,3,2.8333333333333335
"British, Chinese, Italian",244,1,3.8
"Desserts, Greek, Sandwich",244,1,4.3
"Cafe, American, Italian",244,1,4.0
"American, Diner, Southern",244,1,4.3
"Cafe, Continental, Chinese, North Indian, Italian",244,1,3.6
"Fast Food, North Indian, Desserts, Ice Cream",243,2,2.75
"French, Western",243,1,4.3
"American, Chinese, Sushi",243,1,3.7
"Finger Food, North Indian, Chinese",242,3,2.0666666666666664
"Cafe, European, Mexican",242,1,4.4
"North Indian, Asian, Italian",242,1,4.0
"Cafe, Continental, Fast Food",241,2,3.9499999999999997
"North Indian, Chinese, Sri Lankan",240,1,2.4
"Continental, American, Italian, Mediterranean",240,1,3.8
"Continental, Asian, North Indian, Italian",240,1,3.5
"Japanese, Sushi, Asian",239,1,3.9
"American, Sandwich, Seafood",239,1,4.4
"North Indian, Chinese, Continental, Mediterranean, Asian",238,1,3.7
"Continental, European",237,2,3.9000000000000004
"Kerala, Biryani",237,2,3.75
"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",236,1,3.3
"Fast Food, Bakery",235,9,2.566666666666667
"Cafe, Grill",235,1,4.0
"Chinese, Seafood, Thai",234,1,3.5
"Mediterranean, Continental, Italian",234,1,3.7
"North Indian, South Indian, Gujarati, Rajasthani",233,1,3.4
"Continental, North Indian, Chinese, Arabian, Thai",233,1,4.3
"Italian, Mediterranean, Sushi, Desserts",232,1,4.1
"Seafood, Southern",231,1,3.9
"Cafe, Belgian",231,1,3.9
"Finger Food, North Indian, Italian, European, Continental",230,1,4.1
"Chinese, Italian, Fast Food",230,3,3.0666666666666664
Sushi,230,4,3.9
"Cafe, Chinese",228,6,3.266666666666667
"Continental, North Indian, Finger Food",228,1,3.4
"Asian, Chinese, Thai",227,2,4.1
"Chinese, Italian, Continental, North Indian",227,2,3.9000000000000004
"North Indian, Continental, Italian, Finger Food",227,1,3.8
"Bihari, Lucknowi, North Indian",226,1,4.0
"Goan, Mangalorean, Continental, French",225,1,3.5
"Lebanese, Arabian",225,3,3.766666666666667
"Chinese, Japanese, Korean, Asian",225,1,4.0
"Turkish, Arabian, Middle Eastern",224,1,4.3
"Cafe, Desserts, Healthy Food, Juices",223,1,3.7
"Greek, Mediterranean, Vegetarian",223,1,4.2
"Mexican, American, Healthy Food",223,1,4.9
"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International",222,1,4.5
"Continental, Chinese, Thai, Malaysian, North Indian",221,1,3.8
"Fast Food, North Indian, Chinese, Desserts, Ice Cream",221,1,2.5
"Greek, Italian",221,1,3.8
"North Indian, Chinese, Italian, Finger Food",220,1,3.4
"Chinese, Sushi, Thai",220,1,4.2
"American, International, Sushi",220,1,3.8
"Italian, Pizza, Lebanese",218,1,3.3
"North Indian, Chinese, Continental, Seafood",218,1,3.4
"Mediterranean, Continental, North Indian, Italian",218,1,3.5
"Ice Cream, Desserts, Continental",217,1,4.5
"Juices, Beverages, Healthy Food",217,1,4.3
"Italian, Continental, North Indian, Cafe",217,1,4.2
"Cafe, Continental, Italian, Fast Food",216,1,3.7
"Italian, North Indian, Desserts",215,1,4.0
"Indian, Pakistani, Curry",214,1,4.7
"Breakfast, Mexican, Southwestern",214,1,4.0
"Cafe, Lebanese, Italian",214,1,3.8
"Street Food, South Indian, Mithai",214,5,2.44
"American, Japanese, Sushi",214,1,4.6
"Continental, European, Asian, North Indian, Chinese, Italian",214,1,4.1
"North Indian, Mughlai, Continental, Chinese",213,1,3.7
"Cafe, Continental, Italian, North Indian",213,2,3.45
"European, North Indian, Mediterranean, American",213,1,4.5
"South Indian, Chinese, North Indian",212,4,2.425
"Continental, Italian, North Indian, Lebanese, Thai",212,1,4.0
"Fast Food, American, Italian",211,2,3.6500000000000004
"Bakery, Desserts, Chinese, Fast Food",211,2,3.4000000000000004
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",210,1,3.6
"North Indian, Chinese, Continental, Fast Food",210,4,3.575
"Cafe, Sri Lankan, Continental, American",209,1,4.0
"Sushi, Teriyaki",208,1,4.5
"North Indian, Mughlai, Kashmiri",208,1,3.5
"North Indian, Street Food, Mughlai",206,1,3.5
"North Indian, Street Food, South Indian, Mithai",205,1,3.3
"American, Mexican, Seafood",205,1,4.0
"Italian, Continental, Chinese, Mexican",204,1,4.1
"Street Food, Continental, South Indian, North Indian, Chinese",204,1,3.9
"American, Continental, Italian",203,1,3.8
"North Indian, Chinese, Italian, Mexican",203,1,4.0
Lucknowi,203,3,2.4
"Finger Food, Continental, Italian",203,2,3.7
"Gujarati, South Indian, North Indian",203,1,3.7
"Cafe, Chinese, Fast Food, Italian",201,1,3.7
"American, French",201,1,3.7
"Fast Food, North Indian, Beverages",201,2,1.9
"Chinese, North Indian, Italian, Mexican",201,1,3.8
"Continental, Fast Food, Asian, Italian",200,1,3.8
"Desserts, Middle Eastern, Turkish",200,1,3.9
"British, Scottish, Seafood",200,1,4.1
"Mughlai, Italian, Finger Food, Middle Eastern",199,1,3.3
"Chinese, Thai, Malaysian, Indonesian",199,1,3.3
"French, Italian",199,1,3.8
"Cafe, Mexican, Italian, North Indian, Fast Food",198,1,4.2
"International, Pizza",198,1,3.8
"North Indian, Continental, Italian, Thai, Chinese",198,1,3.4
"European, Arabian, Japanese, Bakery, Desserts",197,1,3.9
"North Indian, Asian, European",195,2,3.95
"North Eastern, Continental, South Indian, Fast Food",194,1,3.5
"Continental, Seafood, Chinese, North Indian, Biryani",193,1,3.6
"Coffee and Tea, Modern Australian",193,1,2.4
"North Indian, Italian, Asian, South Indian",192,1,4.1
"Pakistani, Chinese, Indian, Afghani",192,1,4.1
"Cafe, Coffee and Tea, Modern Australian",192,1,3.8
"Street Food, Chinese, North Indian, Mithai",192,2,3.4
"North Indian, Seafood, South Indian, Italian",192,1,3.8
"North Indian, Chinese, Thai, Mexican, Italian",191,1,3.9
"Mexican, Italian, North Indian, Continental, Asian",191,1,3.3
"American, Pizza",191,1,3.7
"Chinese, Tibetan",190,5,3.2
"Fast Food, Italian",189,7,2.4
"Continental, European, North Indian, French",189,1,4.0
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",189,1,3.8
"Asian, Japanese, Korean, Thai, Chinese",188,1,4.1
"Caribbean, Mexican, Cajun",187,1,3.8
"Cafe, Bakery, Tea, Vegetarian",185,1,4.0
"Cafe, American, Italian, North Indian, Chinese",185,1,3.7
"Chinese, Thai, North Indian, Japanese",184,1,3.8
"BBQ, Sandwich",182,1,4.1
"Asian, Vegetarian, Vietnamese",182,1,3.8
"Lucknowi, Mughlai",182,1,2.2
"North Indian, Mughlai, Seafood",181,2,2.05
"Asian, Sushi, Tapas",180,1,4.3
"Korean, Beverages, Desserts",179,1,3.9
"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",179,1,3.4
"Italian, Continental, Mexican, Lebanese",178,1,4.1
"Persian, Arabian, Lebanese, North Indian",177,1,4.6
"Lebanese, Arabian, Moroccan",177,3,1.5
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",177,1,3.7
"Japanese, Asian",177,2,3.85
"Continental, Mexican, Fast Food, Chinese",176,2,3.5
"Bar Food, Modern Australian",176,1,3.8
"Continental, Chinese, Thai, Mediterranean",174,1,3.4
"North Indian, Mughlai, Chinese, Mangalorean",173,1,3.7
"Chinese, Thai, Asian, Japanese, Korean, Seafood",173,1,3.9
"Burger, Pizza, Biryani",172,1,4.3
"North Indian, South Indian, Chinese, Fast Food, Mithai",172,2,3.0999999999999996
"Continental, American, Seafood",171,1,4.2
"Bar Food, Seafood, Vegetarian",171,1,4.1
"Italian, Cafe",170,1,4.2
"Italian, Mexican, Lebanese, Continental",170,1,3.8
"Healthy Food, American, Burger, Salad",170,1,3.4
"Biryani, Andhra",169,1,4.0
"Continental, Italian, American, North Indian",169,1,3.3
"North Indian, Chinese, Seafood, Chettinad",168,1,3.5
"Juices, Desserts",167,2,4.0
"Continental, Italian, North Indian, Mughlai",166,1,4.4
"Asian, Sushi, Seafood",166,1,4.5
"Indian, Mediterranean, Middle Eastern",166,1,4.6
"Cafe, American, Continental, Armenian, Fast Food",166,1,3.9
"North Indian, Chinese, South Indian, Street Food, Mithai",166,1,2.4
"Fast Food, Pizza, Burger",165,1,3.6
"Lebanese, North Indian",165,1,3.4
"Biryani, Lucknowi, North Indian",165,1,3.4
"Cafe, Italian, Desserts",165,1,4.1
"Continental, North Indian, European, Asian",165,1,4.0
"Italian, North Indian, Desserts, Continental",164,1,4.1
"Cafe, Continental, Fast Food, Italian",164,2,1.85
"Continental, North Indian, Chinese, Asian",163,1,4.1
"Scottish, Cafe",163,1,4.7
"Continental, North Indian, South Indian",163,2,1.9
"Healthy Food, North Indian, Continental",162,1,4.0
"North Indian, Italian, Continental, Asian",162,1,4.2
"Burger, American, Fast Food, Italian, Pizza",162,1,4.5
"Cafe, North Indian, Italian",162,2,3.9
"Coffee and Tea, Sandwich",162,2,3.5999999999999996
"American, Burger, Grill",162,1,4.9
"Desserts, Thai",162,1,3.7
"Filipino, Japanese, Asian",162,1,4.5
"South Indian, Chettinad, North Indian, Chinese",161,1,3.4
"Chinese, North Indian, South Indian, Fast Food",161,1,2.0
"American, Desserts, Diner",161,1,3.9
"Continental, North Indian, Chinese, Mughlai, Asian",161,2,3.8000000000000003
"Lebanese, Chinese",159,1,3.2
"Middle Eastern, Arabian",158,1,4.2
"Bakery, Chinese",158,5,1.44
"Continental, Seafood, Burger, South African, Finger Food, Grill",158,1,4.0
"Italian, Cafe, Desserts",157,1,3.7
"North Indian, Rajasthani, Asian",157,1,4.0
"Cafe, Patisserie, Bakery, Desserts",157,1,4.4
"North Indian, Biryani, Mughlai",157,1,3.3
"Burger, Greek, Sandwich",156,1,3.9
"North Indian, Italian, Finger Food",156,1,3.9
Indonesian,155,1,3.7
"North Indian, Mexican, Italian",155,1,4.3
"Cafe, Italian, Mexican, Salad, Desserts",155,1,3.4
"Continental, North Indian, Mughlai, Chinese",155,2,3.2
"North Indian, Tibetan",154,1,3.7
"Beverages, Salad",154,1,4.3
"American, Fast Food, Desserts",154,1,4.0
"North Indian, Bengali",154,4,2.275
"Andhra, North Indian, Chinese, Seafood, Biryani",154,1,3.6
"Mediterranean, Asian, Continental, North Indian, Arabian",154,1,4.6
"Continental, Italian, Mediterranean, Asian",153,1,4.1
"Cafe, Italian, Pizza, European, Bakery, Deli",153,1,3.9
"Chinese, Assamese",153,1,3.3
"Cafe, Italian, Mexican, Continental",153,1,4.1
Hyderabadi,152,2,2.85
"American, Greek",152,1,3.7
"Cafe, Burger, Tapas, South African, European, Grill",150,1,3.9
"American, Continental, Burger",150,1,4.6
"Chinese, Tibetan, Fast Food",150,1,3.3
"American, BBQ, Southern",150,2,3.95
"Pakistani, Indian, Afghani, Curry",150,1,3.9
"Burger, Bar Food, Southern",149,1,3.8
"North Indian, Continental, South Indian, Chinese, Thai, Asian",149,1,4.2
"Continental, Chinese, Mexican, North Indian",149,1,3.8
"Pizza, Chinese",149,1,3.7
"Thai, Japanese",148,1,3.6
"Chinese, North Indian, Continental, Italian",148,1,3.4
"Pizza, Bar Food, Sandwich",147,1,3.7
"Cafe, Italian, European, Bakery",147,1,4.1
"Desserts, Sandwich",147,2,4.050000000000001
"Kashmiri, Mughlai",146,1,4.2
"North Indian, Italian, Parsi, Asian, Kerala",146,1,4.4
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",146,1,3.8
"Chinese, Seafood, North Indian, Biryani",146,1,4.2
"Mediterranean, Cafe, European",146,1,4.2
"Coffee and Tea, Cuban, Latin American",146,1,3.9
"Chinese, North Indian, Italian, Continental, Fast Food",145,1,3.2
"American, Finger Food",145,1,3.3
"Cafe, Charcoal Grill, Steak",145,1,4.5
"Chinese, Thai, North Indian, South Indian",145,1,3.7
South American,145,2,3.5
"Bakery, Fast Food, Chinese",144,4,2.5
"Mediterranean, Continental",144,1,4.2
"Seafood, Continental, Goan, Asian, Andhra",144,1,3.8
"Sushi, Asian",144,3,3.6333333333333333
"Healthy Food, Salad, Italian, Continental",144,1,3.9
"South Indian, North Indian, Chinese, Fast Food",144,2,3.3499999999999996
New American,144,1,3.6
"Chinese, Naga",143,1,3.7
"Bakery, Italian, Chinese, Mexican",143,3,2.533333333333333
"Bakery, Arabian, Middle Eastern",142,1,4.2
"Continental, North Indian, American, Italian, Mexican",142,1,4.3
"Healthy Food, North Indian, Chinese, Continental",142,1,3.7
"North Indian, Fast Food, Street Food",142,1,3.7
"Finger Food, Italian, Middle Eastern",142,1,3.7
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",141,1,3.9
"Asian, Chinese, Vegetarian",141,1,3.9
"Indian, International, Vegetarian",141,1,3.8
"North Indian, Mughlai, South Indian",141,2,1.65
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",140,1,4.1
"American, Italian, Mughlai, North Indian",140,1,3.5
"Cafe, Continental, European, Beverages",140,1,3.6
"Chinese, Mughlai",139,3,3.3000000000000003
Andhra,139,1,3.4
"Cafe, Continental, Italian, Bakery",138,1,4.4
"North Indian, South Indian, Chinese, Mughlai",137,1,2.4
"Burger, Pizza, Sandwich",137,2,3.55
"Chinese, Thai, North Indian",137,1,3.7
"Fast Food, Seafood",137,1,3.7
"Coffee and Tea, Desserts, Beverages",136,1,3.7
"Burger, Pizza",136,1,3.9
"German, Ice Cream",136,1,3.9
"Mughlai, North Indian, Bengali, Continental",135,1,2.7
"Cafe, Fast Food, Healthy Food",135,1,4.1
"Continental, North Indian, Mexican",135,1,3.2
"Street Food, Continental, Burger, Grill",135,1,3.9
"Cafe, American, Mexican, Italian, Thai",134,1,3.8
"South Indian, North Indian, Chinese, Continental",134,1,3.5
"Cafe, Continental, Italian, Mexican",134,1,4.0
