Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Breakfast, Spanish, Tapas",4.4,1,1007
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",4.4,1,73
"Street Food, Burger, American, Finger Food, German",4.4,1,301
"Thai, Japanese, Chinese, Indonesian, Vietnamese",4.4,1,246
"Breakfast, Sandwich",4.4,2,1437
"Japanese, Sushi, Ramen",4.4,1,841
"Malaysian, Indonesian",4.4,1,77
"Mughlai, Street Food",4.4,1,305
"Cafe, Patisserie, Bakery, Desserts",4.4,1,157
"Seafood, Asian, Filipino, Indian",4.4,1,270
"Seafood, Japanese, Sushi",4.4,1,466
"Brazilian, North Eastern",4.4,1,22
"Mediterranean, Seafood",4.4,1,381
"Cuban, Spanish",4.4,1,1746
"Kebab, Izgara",4.4,1,296
"Kebab, Turkish Pizza, D�_ner",4.4,1,72
"Cafe, Italian, Bakery",4.4,1,83
"American, Sandwich, Seafood",4.4,1,239
"Asian, Vegetarian, Vietnamese, Bubble Tea",4.4,1,659
"Cafe, Continental, Desserts",4.4,1,944
"Chinese, Thai, Japanese, Asian",4.4,1,129
Tapas,4.4,2,696
"Fast Food, Street Food, South Indian",4.4,1,697
"Latin American, Mexican, Southwestern",4.4,2,2897
"World Cuisine, Mexican, Italian",4.4,1,115
"Asian, Latin American, Vegetarian",4.4,1,570
"Indian, Asian",4.4,1,552
"North Indian, Mediterranean, Asian, Chinese",4.4,1,66
"Asian, Mediterranean, North Indian",4.4,1,983
"European, International, Tapas",4.4,1,900
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",4.4,1,635
"French, Kiwi",4.4,1,125
"Bakery, Sandwich, Brazilian",4.4,1,13
"Goan, Seafood, Chinese, North Indian",4.4,1,1115
"Italian, Seafood, Vegetarian",4.4,1,360
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.4,1,499
"Modern Australian, Australian",4.4,1,339
"Steak, BBQ",4.4,1,17
"Steak, Seafood, Grill",4.4,1,704
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",4.4,1,676
"British, French",4.4,1,275
"Cafe, Continental, Italian, Bakery",4.4,1,138
"North Indian, Italian, Parsi, Asian, Kerala",4.4,1,146
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",4.4,1,317
"North Indian, Italian, Asian, American",4.4,1,840
"Continental, Italian, North Indian, Mughlai",4.4,1,166
"North Indian, Italian, Chinese, American",4.4,1,391
"Cafe, European, Mexican",4.4,1,242
"North Indian, Chinese, Mexican, Italian",4.4,1,1484
"Burger, Sandwich, Seafood",4.4,1,1408
Pub Food,4.4,1,1998
"American, Seafood, Southern",4.4,1,1803
"Italian, Mexican, Continental",4.4,1,276
"Italian, Continental, Mexican, Cafe, Bakery",4.4,1,843
"Cafe, Bakery, American, Italian",4.4,1,392
British,4.366666666666667,3,813
"Modern Indian, North Indian",4.35,2,1928
"Juices, Healthy Food",4.35,2,100
Modern Indian,4.345454545454545,11,12355
"Hawaiian, Seafood, Steak",4.333333333333333,3,3255
"Mediterranean, Italian",4.333333333333333,3,970
"Kebab, Turkish Pizza",4.325,4,530
"Kebab, Desserts, Turkish Pizza",4.300000000000001,2,283
"Turkish, Arabian, Middle Eastern",4.3,1,224
"Continental, Cafe, Desserts, Bakery",4.3,1,312
"Continental, Chinese, Italian, Finger Food",4.3,1,90
"BBQ, Grill, Brazilian",4.3,1,39
"North Indian, Mediterranean, Asian, Fast Food",4.3,1,1129
"Indian, Curry",4.3,2,426
"Indian, Asian, Durban, International, Desserts",4.3,1,43
"Ice Cream, Mithai, North Indian, Street Food",4.3,1,521
"North Indian, Mexican, Italian",4.3,1,155
"Cafe, Italian, Continental, Fast Food",4.3,1,1327
"Pizza, Italian, Beverages, Desserts",4.3,1,731
"Turkish, Mediterranean, Middle Eastern",4.3,1,43
"Vietnamese, Fish and Chips",4.3,1,96
Turkish Pizza,4.3,1,103
"Cafe, Kiwi",4.3,1,127
Latin American,4.3,2,257
"American, Breakfast, Desserts",4.3,1,96
"North Indian, Continental, Chinese, Italian, Mexican",4.3,1,1121
"North Indian, Continental, Chinese, Seafood",4.3,1,2191
"Asian, Sushi, Tapas",4.3,1,180
"Bakery, Cafe, Fast Food",4.3,1,87
"Continental, North Indian, American, Italian, Mexican",4.3,1,142
"Italian, Cafe, Chinese, Continental",4.3,1,69
"Italian, American, Lebanese",4.3,1,887
Irish,4.3,1,782
"Cafe, Western",4.3,1,458
"North Indian, Japanese, Italian",4.3,1,860
Caribbean,4.3,1,910
"Caribbean, Seafood",4.3,1,905
"Cafe, Sandwich, Southern",4.3,1,719
"North Indian, Continental, European, Chinese, Thai",4.3,1,400
"European, Cafe, Italian",4.3,1,1607
"North Indian, Chinese, Italian, Street Food, Desserts",4.3,1,753
"Mediterranean, Italian, American",4.3,1,124
"Burger, Pizza, Biryani",4.3,1,172
"Continental, North Indian, Thai, Chinese",4.3,1,270
"European, Asian",4.3,1,96
"Continental, North Indian, Chinese, Arabian, Thai",4.3,1,233
"Continental, North Indian, Mughlai, Burmese",4.3,2,1906
"Mexican, Grill",4.3,1,29
"Beverages, Salad, Beverages",4.3,1,33
"French, Western",4.3,1,243
"Goan, Chinese, Indian, North Indian",4.3,1,544
"North Indian, Afghani, Mughlai",4.3,1,104
"Gourmet Fast Food, Burger",4.3,1,68
"European, Spanish",4.3,1,303
"Grill, Steak, Burger, Sushi, Tapas",4.3,1,430
"Cafe, Mexican, American, Italian, Lebanese, Continental",4.3,1,4085
"Cafe, Mexican, Italian, Continental",4.3,1,798
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",4.3,1,722
"Desserts, Greek, Sandwich",4.3,1,244
"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American",4.3,1,130
"Beverages, Salad",4.3,1,154
"Italian, Seafood, Mediterranean, Desserts, Cafe",4.3,1,658
"American, Diner, Southern",4.3,1,244
"Mediterranean, Chinese, Continental",4.3,1,87
"Lebanese, Italian",4.3,1,479
"Spanish, Italian",4.3,1,800
"Juices, Beverages, Healthy Food",4.3,1,217
"British, Contemporary",4.3,2,246
"Burger, Izgara",4.3,1,870
"Brazilian, Italian",4.3,1,46
"Breakfast, Diner, Sandwich",4.3,1,710
"Coffee and Tea, Desserts",4.3,1,456
"Coffee and Tea, Mediterranean",4.3,1,88
"Desserts, Cafe",4.266666666666667,3,786
"Cafe, Fast Food, Italian",4.25,2,3525
"North Indian, Italian, Chinese, Mexican",4.25,2,2450
"North Indian, Continental, Goan",4.25,2,1774
Indian,4.25,18,6068
"North Indian, South Indian, Street Food, Bakery",4.25,2,481
International,4.233333333333333,6,973
Bar Food,4.233333333333333,3,1166
