Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Pizza, Mexican, Chinese, Italian",4.0,1,259
"Pizza, Seafood, Steak",4.0,1,687
"Seafood, Chinese, Thai",4.0,1,100
"American, Mexican, Seafood",4.0,1,205
"Seafood, Bar Food, Brazilian",4.0,1,7
"American, Fast Food, Desserts",4.0,1,154
Sri Lankan,4.0,1,114
"Seafood, Steak",4.0,1,875
"South Indian, Seafood, Kerala",4.0,1,802
"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",4.0,1,536
"American, Greek, Seafood",4.0,1,316
"American, Grill",4.0,1,10
"Continental, American, Italian, Seafood, North Indian, Cafe",4.0,2,2144
"Contemporary, Burger, European",4.0,1,504
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",4.0,2,1046
"Tex-Mex, American",4.0,1,911
BBQ,3.9777777777777774,9,2059
Southern,3.9749999999999996,4,2573
"Indian, Street Food",3.966666666666667,3,517
"Asian, Thai",3.966666666666667,3,1441
"Biryani, North Indian, Hyderabadi",3.9666666666666663,3,1882
"American, Italian, Pizza",3.9666666666666663,3,901
"North Indian, Asian, European",3.95,2,195
Parsi,3.95,2,750
"Seafood, Italian",3.95,2,262
"Asian, European",3.95,2,817
"Cafe, Fast Food, Street Food",3.95,2,1500
"American, BBQ, Southern",3.95,2,150
"Burger, Bar Food",3.95,2,1138
"North Indian, Thai, Continental",3.95,2,743
"Chinese, Thai, Sushi",3.95,2,361
"North Indian, Continental, Mexican, Italian",3.9499999999999997,2,978
"Asian, North Indian",3.9499999999999997,2,456
"Cafe, Continental, Fast Food",3.9499999999999997,2,241
"Cafe, Fast Food, Italian, Chinese",3.9499999999999997,2,3449
"North Indian, Italian",3.933333333333333,3,462
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.925,4,5167
"Continental, American",3.9200000000000004,5,1544
"Chinese, Italian, Continental, North Indian",3.9000000000000004,2,227
"Continental, European",3.9000000000000004,2,237
"Street Food, Continental, South Indian, North Indian, Chinese",3.9,1,204
"Hyderabadi, Fast Food",3.9,1,63
"Burger, Greek, Sandwich",3.9,1,156
"Continental, American, Italian, Bakery",3.9,1,1756
"North Indian, Continental, Chinese, Japanese, Italian, Thai",3.9,1,490
"Healthy Food, Salad, Italian, Continental",3.9,1,144
"Japanese, Thai, Sushi",3.9,1,290
"Japanese, Sushi, Asian",3.9,1,239
"Japanese, Steak",3.9,1,247
"Brazilian, Grill",3.9,1,5
"Cafe, Italian, Chinese, Continental",3.9,2,1089
"Cafe, Italian, Continental, Desserts",3.9,1,320
"Cafe, Italian, Pizza, European, Bakery, Deli",3.9,1,153
"North Indian, Chinese, South Indian, Italian",3.9,1,272
"North Indian, Chinese, Thai, Mexican, Italian",3.9,1,191
"Street Food, Continental, Burger, Grill",3.9,1,135
"German, Ice Cream",3.9,1,136
"Chinese, Thai, Asian, Japanese, Korean, Seafood",3.9,1,173
"Street Food, North Indian, Chinese, Continental",3.9,1,1485
"North Indian, Chinese, Mediterranean, Asian, Continental",3.9,1,1088
"Cafe, Italian, Mexican, Chinese",3.9,1,502
"Cafe, Italian, Mexican, North Indian, Continental",3.9,1,98
"Cafe, Italian, Fast Food",3.9,2,4038
"Coffee and Tea, Cuban, Latin American",3.9,1,146
"Chinese, Thai, Tibetan, Japanese",3.9,1,419
"Chinese, Seafood, Cantonese, Dim Sum",3.9,1,34
"North Indian, Lebanese, European, Mexican",3.9,1,299
"North Indian, Mediterranean, Asian, Continental",3.9,1,3413
"Cafe, North Indian, Italian",3.9,2,162
Breakfast,3.9,4,1655
"Continental, Burger, Pizza, North Indian, European, Finger Food",3.9,1,96
"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",3.9,1,1286
"Bakery, Cafe",3.9,3,363
"South Indian, Chettinad, North Indian",3.9,1,318
"North Indian, Kashmiri, Chinese, Thai, Korean",3.9,1,295
"North Indian, Italian, Finger Food",3.9,1,156
"Continental, American, Fast Food",3.9,1,109
"North Indian, Continental, Asian, Italian",3.9,1,93
"Healthy Food, Fast Food",3.9,1,54
"North Indian, Chinese, Fast Food, Cafe",3.9,1,288
"North Indian, European, Continental, Finger Food",3.9,1,676
"North Indian, European, Continental",3.9,1,696
"Cafe, Burger, Tapas, South African, European, Grill",3.9,1,150
"Indian, North Indian, South Indian, Chinese",3.9,1,285
"European, Arabian, Japanese, Bakery, Desserts",3.9,1,197
"Fast Food, Cafe, Desserts, Bakery",3.9,1,52
"Continental, Fast Food, Tea",3.9,1,26
"Asian, Vietnamese",3.9,2,861
"Chinese, Asian, Mediterranean, Continental",3.9,1,305
"North Indian, Spanish, Mediterranean",3.9,1,555
"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",3.9,1,127
"North Indian, Mughlai, Asian, Continental",3.9,1,1365
"North Indian, Mexican, Chinese, Italian",3.9,1,605
"North Indian, Mexican, Italian, Continental",3.9,1,1379
"Cafe, Fast Food, Italian, Mexican",3.9,1,430
"Burger, Desserts",3.9,1,101
"Italian, Tex-Mex, Continental, North Indian",3.9,1,886
"Seafood, North Indian",3.9,3,897
"Desserts, Sandwich, Southern",3.9,1,372
"Desserts, Middle Eastern, Turkish",3.9,1,200
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",3.9,1,141
"Asian, Chinese, Vegetarian",3.9,1,141
"Asian, Japanese, Chinese, Thai",3.9,1,2003
"Mughlai, North Indian, South Indian",3.9,1,265
"Seafood, Southern",3.9,1,231
"Chinese, Cafe, North Indian, Desserts",3.9,1,326
"Cafe, American, Continental, Armenian, Fast Food",3.9,1,166
"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",3.9,1,287
"Modern Indian, Asian",3.9,1,67
"Mexican, Tex-Mex",3.9,1,66
"Pakistani, Indian",3.9,2,481
"Pakistani, Indian, Afghani, Curry",3.9,1,150
"American, Mexican, Burger",3.9,2,697
"Continental, Mexican, American, Fast Food, Italian, Chinese",3.9,1,132
"Pizza, Italian, Cafe",3.9,1,1503
"Italian, Continental, North Indian",3.9,1,96
"Bengali, South Indian, North Indian, Mughlai",3.9,1,66
"Mexican, Italian, American",3.9,1,105
"Mediterranean, Italian, Thai, European",3.9,1,927
"Italian, Continental, Mexican, North Indian",3.9,1,1316
"Italian, Continental, Mexican, Japanese, American, British",3.9,1,885
"Cafe, Belgian",3.9,1,231
"Burger, Pizza",3.9,1,136
"Continental, North Indian, South Indian, Italian",3.9,1,821
"Continental, North Indian, Chinese, European, Asian",3.9,1,401
"Chinese, Thai, Continental, Fast Food, North Indian",3.9,1,117
"Korean, Beverages, Desserts",3.9,1,179
"American, Desserts, Diner",3.9,1,161
Sushi,3.9,4,230
"Thai, Chinese, North Indian",3.9,1,38
"Mexican, Fast Food",3.8666666666666667,3,825
"Burmese, Chinese, Japanese, Malaysian, Thai",3.8666666666666667,3,875
"Lebanese, Mediterranean, Middle Eastern, Arabian",3.8666666666666667,3,1371
"Continental, North Indian, Italian, Asian",3.85,2,2671
"Burger, American, Fast Food",3.85,6,1118
Restaurant Cafe,3.85,2,1407
"American, Burger, Sandwich",3.85,4,1104
"Japanese, Asian",3.85,2,177
"American, BBQ, Burger",3.85,2,439
"Continental, Chinese, Thai, Mughlai, North Indian",3.8499999999999996,2,1485
"American, Italian, Seafood",3.8499999999999996,2,1010
"American, Seafood, Steak",3.8375000000000004,8,2904
"American, Steak",3.8333333333333335,3,257
Gujarati,3.8333333333333335,3,439
"North Indian, Continental, Chinese, Italian",3.8333333333333335,3,1149
"North Indian, Mediterranean, Asian",3.8333333333333335,3,2070
"American, BBQ, Steak",3.825,4,742
"American, Breakfast",3.814285714285714,7,1815
"Continental, North Indian, Chinese, Mughlai, Asian",3.8000000000000003,2,161
"Cafe, Fast Food, North Indian",3.8000000000000003,3,811
"Japanese, Sushi, Thai",3.8000000000000003,3,519
"Fast Food, Turkish",3.8000000000000003,3,590
"American, Tex-Mex",3.8,5,3244
"Pizza, Sandwich, Vegetarian",3.8,1,323
"Mediterranean, European, American, North Indian",3.8,1,1046
"Italian, Mediterranean",3.8,1,1347
"Cafe, American, Mexican, Italian, Thai",3.8,1,134
"Italian, Fusion, Cafe",3.8,1,93
"American, North Indian, Thai, Continental",3.8,1,74
"Italian, Mexican, Lebanese, Continental",3.8,1,170
"Asian, Chinese, Thai, Malaysian, Indonesian, Burmese",3.8,1,24
"Continental, Italian, North Indian, Chinese, Lebanese",3.8,1,43
"Continental, Italian, Mediterranean",3.8,1,773
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",3.8,1,146
"North Indian, Street Food, Beverages",3.8,1,120
"Seafood, Asian, Grill, Sushi",3.8,1,619
"Seafood, African, Sushi",3.8,1,280
"Seafood, Tapas, Bar Food",3.8,1,250
"American, International, Sushi",3.8,1,220
"Continental, Tex-Mex",3.8,1,567
"Asian, Vegetarian, Vietnamese",3.8,1,182
"International, Pizza",3.8,1,198
"Italian, Mexican, Chinese",3.8,1,79
"Thai, Chinese, Asian, Malaysian",3.8,1,118
"American, Bakery, European, Burger, Fusion",3.8,1,28
"Chinese, Thai, Seafood, Naga",3.8,1,556
"Italian, Pizza, Cafe",3.8,1,101
"Chinese, Thai, North Indian, Japanese",3.8,1,184
"Thai, Chinese, Asian",3.8,1,107
"Burger, Bar Food, Vegetarian",3.8,1,281
"Burger, Bar Food, Southern",3.8,1,149
"American, Burger, Cajun",3.8,1,88
"British, Chinese, Italian",3.8,1,244
"Continental, Fast Food, Asian, Italian",3.8,1,200
"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",3.8,1,25
"Continental, Fast Food, Desserts, Indian",3.8,1,24
"Continental, Finger Food, Chinese, North Indian",3.8,1,31
"North Indian, Seafood, South Indian, Italian",3.8,1,192
"North Indian, Mughlai, Lebanese",3.8,1,300
"Breakfast, French",3.8,1,332
"Continental, American, Italian, Mediterranean",3.8,1,240
"Cafe, Lebanese, Italian",3.8,1,214
"Cafe, Mexican, Italian, Fast Food",3.8,1,71
"Cafe, Mexican, Italian, North Indian, Chinese",3.8,1,429
"Finger Food, Continental, North Indian",3.8,1,290
"North Indian, Chinese, Turkish",3.8,1,263
"Healthy Food, Cafe, Desserts, Italian, Bakery",3.8,1,99
"Japanese, Tibetan, Vietnamese, Korean",3.8,1,115
"North Indian, Continental, Chinese, Italian, Thai, Mughlai",3.8,2,1220
"American, Continental, Italian",3.8,1,203
"North Indian, Chinese, Mexican, Beverages",3.8,1,424
"French, Italian",3.8,1,199
"North Indian, Chinese, Mughlai, Italian",3.8,1,1158
"Goan, North Indian, Chinese",3.8,1,601
"Goan, American, Portuguese",3.8,1,23
"Greek, Italian",3.8,1,221
"French, Mediterranean, European",3.8,1,33
"Chinese, North Indian, Italian, Mexican",3.8,1,201
"American, BBQ",3.8,2,724
"Street Food, North Indian, South Indian, Chinese, Mithai",3.8,2,1380
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",3.8,1,189
"Cafe, Healthy Food, Continental",3.8,2,252
"North Indian, European, Mediterranean, Asian",3.8,1,117
"North Indian, Fast Food, Chinese, Biryani, Mughlai",3.8,1,418
"North Indian, Italian, Mexican, Asian",3.8,1,87
"European, Chinese",3.8,1,53
"North Indian, Mediterranean, European, Asian, Chinese, Pizza",3.8,1,305
"North Indian, Mithai, Chinese, Street Food",3.8,1,40
"Bar Food, Modern Australian",3.8,1,176
"Indian, International, Vegetarian",3.8,1,141
"North Indian, Chinese, Arabian",3.8,1,519
"Cafe, Fast Food, Beverages",3.8,1,81
"North Indian, Cafe, Italian, Mexican, Continental",3.8,1,63
"Continental, Asian, Italian, Mediterranean, Burger",3.8,1,1845
"Continental, Chinese, Thai, Malaysian, North Indian",3.8,1,221
"Steak, American",3.8,2,354
"North Indian, Continental, Italian, Finger Food",3.8,1,227
"North Indian, Italian, Chinese, Fast Food",3.8,2,317
"North Indian, French, Continental",3.8,1,456
"North Indian, Finger Food, Italian, Chinese",3.8,1,121
"Continental, Chinese, Mexican, North Indian",3.8,1,149
"Caribbean, Mexican, Cajun",3.8,1,187
"Awadhi, North Indian, Mughlai",3.8,1,86
"Indian, Cafe",3.8,1,73
"Seafood, Continental, Goan, Asian, Andhra",3.8,1,144
"Cafe, Pizza, Italian",3.8,1,863
"Mughlai, Pakistani, North Indian",3.8,1,665
"Cafe, Coffee and Tea, Modern Australian",3.8,1,192
"Asian, Continental, Seafood",3.8,1,30
"Italian, Burger, Charcoal Grill",3.8,1,127
"Asian, Chinese, North Indian",3.8,1,61
"Continental, South Indian",3.8,1,249
"Cafe, Chinese, Fast Food, Seafood",3.8,1,253
"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",3.8,1,966
"Mithai, Chinese, Street Food",3.8,1,83
"Sushi, Japanese, Cantonese",3.8,1,32
"Burger, American, Beverages",3.8,1,57
"Gujarati, Rajasthani, North Indian, Fast Food",3.8,1,603
"Street Food, Fast Food, North Indian",3.8,1,317
"British, Cafe",3.8,1,38
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",3.8,1,432
"Cafe, Fast Food, American",3.8,1,27
"Ice Cream, Desserts, North Indian, Street Food",3.8,1,71
"North Indian, Fast Food, Italian, Chinese, Cafe",3.8,1,280
"North Indian, Chinese, Continental, Goan, Seafood",3.8,1,911
"Lebanese, Arabian",3.766666666666667,3,225
"North Indian, Mughlai, Chinese, Continental",3.766666666666667,3,1112
"Continental, American, Italian",3.766666666666667,3,1146
"Chinese, Asian, Thai",3.7600000000000002,5,1343
"North Indian, Mughlai, Chinese, South Indian",3.7600000000000002,5,2290
"Chinese, Thai, Continental, North Indian",3.75,2,1368
"North Indian, European, Asian, Mediterranean",3.75,2,2053
"North Indian, Continental, Finger Food",3.75,2,1527
"European, Italian",3.75,4,1136
"Continental, Healthy Food",3.75,6,314
"Kerala, Biryani",3.75,2,237
"Fast Food, American",3.75,2,58
"Italian, North Indian, Chinese, Mughlai",3.75,2,1181
"North Indian, Continental, Asian",3.7375,8,2055
"Japanese, Steak, Sushi",3.725,8,1275
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.725,4,467
Korean,3.716666666666667,6,1084
"Raw Meats, North Indian, Chinese, Fast Food",3.7,1,280
"American, Mediterranean, Seafood",3.7,1,98
"American, Pizza",3.7,1,191
"Seafood, Western",3.7,2,483
"Pizza, Bar Food, Sandwich",3.7,1,147
"Italian, Chinese, Fast Food, North Indian",3.7,1,32
"Cafe, Chinese, Fast Food, Italian",3.7,1,201
"Chinese, Thai, North Indian",3.7,1,137
"American, Bar Food, Sandwich",3.7,1,747
"Chinese, Continental, North Indian, Mughlai",3.7,1,260
"Chinese, Mangalorean",3.7,1,355
"American, North Indian, European, Asian",3.7,1,3697
"Chinese, Thai, North Indian, South Indian",3.7,1,145
"Italian, North Indian, South Indian",3.7,1,262
"Italian, French, European, Cafe",3.7,1,774
"Continental, North Indian, European",3.7,1,116
"Biryani, Mughlai, Bengali, North Indian",3.7,1,89
"Italian, Continental, Goan",3.7,1,1221
"Cafe, American, Italian, North Indian, Chinese",3.7,1,185
"Thai, Chinese, Japanese",3.7,1,111
"American, Continental, North Indian, Chinese",3.7,1,379
"American, Continental, Italian, North Indian, Asian",3.7,1,4914
"Kerala, Fast Food",3.7,1,105
"Cafe, Australian",3.7,1,29
Arabian,3.7,1,8
"Continental, Mexican, North Indian, Chinese",3.7,1,112
"Continental, Mexican, American, Italian, North Indian",3.7,1,706
"Cafe, American, Desserts, Italian, Bakery",3.7,1,18
"Seafood, Chinese, Japanese, Sushi, Thai",3.7,1,44
"Seafood, Continental, European",3.7,1,601
"Mediterranean, Continental, Italian",3.7,1,234
"Mithai, North Indian, South Indian",3.7,1,59
"Desserts, Beverages, Juices",3.7,1,36
"Pizza, Chinese",3.7,1,149
"Pizza, Grill",3.7,1,22
"North Indian, Tibetan",3.7,1,154
"Cafe, Continental, Italian, Fast Food",3.7,1,216
"Bengali, North Indian, Chinese",3.7,2,525
"Mexican, North Indian",3.7,1,57
"Desserts, Thai",3.7,1,162
"North Indian, Mughlai, Continental, Chinese",3.7,1,213
"North Indian, Mughlai, Chinese, Mangalorean",3.7,1,173
"North Indian, Mughlai, Chinese, Bakery",3.7,1,281
"Cafe, Desserts, Healthy Food, Juices",3.7,1,223
"Indian, South Indian",3.7,2,323
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",3.7,1,177
"Cafe, Desserts, Beverages",3.7,1,783
"Cafe, British",3.7,1,13
"Italian, Cafe, Desserts",3.7,1,157
"Chinese, North Indian, Cafe",3.7,1,338
"Continental, Cafe",3.7,1,18
"North Indian, Fast Food, Street Food",3.7,1,142
"Chinese, Naga",3.7,1,143
"American, Italian, Chinese, North Indian, Cafe",3.7,1,833
"South Indian, Desserts, Beverages",3.7,1,25
"Italian, World Cuisine",3.7,1,661
"Cafe, North Indian, Continental, Italian",3.7,1,43
"Indian, Grill",3.7,1,48
"Cafe, Fast Food, Chinese",3.7,1,45
"European, North Indian, Continental, Italian",3.7,1,81
"Cafe, North Indian, Continental, Chinese",3.7,2,501
Indonesian,3.7,1,155
"Breakfast, Coffee and Tea",3.7,2,115
"Italian, Pizza, Vegetarian",3.7,1,134
"North Indian, Andhra, Mughlai",3.7,1,393
"Italian, Pizza, Seafood",3.7,1,292
"Breakfast, Burger, Sandwich",3.7,1,289
"Seafood, Mediterranean",3.7,1,45
"Japanese, Chinese, Thai",3.7,2,309
"Japanese, Chinese, Asian, Thai",3.7,1,128
"North Indian, Maharashtrian",3.7,2,357
"North Indian, Chinese, Continental, Pizza",3.7,1,665
"North Indian, Chinese, Continental, Mediterranean, Asian",3.7,1,238
"North Indian, European, Asian",3.7,1,42
"Fast Food, Healthy Food",3.7,1,105
"Healthy Food, Salad",3.7,8,2030
"Healthy Food, North Indian, Chinese, Continental",3.7,1,142
"Finger Food, Continental, Italian",3.7,2,203
"Fast Food, Seafood",3.7,1,137
"Healthy Food, Italian, Juices, Beverages",3.7,1,81
"North Indian, Continental, Chinese, Italian, Lebanese",3.7,1,49
"American, Greek",3.7,1,152
"Healthy Food, North Indian, Beverages",3.7,1,25
"Healthy Food, Juices, Salad",3.7,1,37
"North Indian, Continental, Chinese, South Indian",3.7,1,43
"Gujarati, South Indian, North Indian",3.7,1,203
"Cafe, Italian, Pizza",3.7,1,647
"Finger Food, Italian, Middle Eastern",3.7,1,142
"Finger Food, Continental, North Indian, Italian, Chinese",3.7,1,1902
"American, French",3.7,1,201
"Street Food, Fast Food, Chinese, South Indian, North Indian",3.7,1,65
"Finger Food, North Indian",3.7,2,1429
"Finger Food, North Indian, Continental, Italian",3.7,1,1801
"Burger, Coffee and Tea, Modern Australian",3.7,1,100
"Breakfast, Coffee and Tea, Modern Australian",3.7,1,351
"Cafe, Healthy Food, Continental, Italian, Asian",3.7,1,131
"Coffee and Tea, Desserts, Beverages",3.7,1,136
"Breakfast, Diner, Southern",3.7,1,123
"North Indian, Chinese, South Indian, Chinese",3.7,2,472
"Goan, Seafood",3.7,1,277
"American, Continental, Italian, Bakery",3.7,1,393
"American, Burger, Pizza, Cafe",3.7,1,89
"American, Chinese, Sushi",3.7,1,243
"Hyderabadi, North Indian, Biryani",3.6999999999999997,2,352
"BBQ, Burger, Seafood",3.6999999999999997,2,270
"Chinese, Continental",3.6999999999999997,3,397
"Italian, Continental",3.6833333333333336,6,3551
"Pizza, Italian",3.668421052631579,19,6046
American,3.667741935483871,31,7802
"Breakfast, Burger",3.6666666666666665,3,1160
"Continental, North Indian, Italian",3.6666666666666665,6,3010
"European, Continental",3.66,5,2049
"North Indian, Biryani, Chinese, Fast Food",3.66,5,1111
Italian,3.6574074074074074,54,14799
"Mediterranean, American, Asian",3.6500000000000004,2,787
"Tibetan, Nepalese",3.6500000000000004,2,1048
"Fast Food, American, Italian",3.6500000000000004,2,211
"Continental, American, North Indian, Chinese",3.6500000000000004,2,601
"North Indian, Chinese, South Indian, Seafood, Chettinad",3.65,4,1651
"Cafe, Italian, Chinese, North Indian",3.65,2,464
"Chinese, Italian, North Indian",3.65,4,847
"Cafe, Desserts, Bakery",3.65,2,405
"Japanese, Thai, Italian, Asian",3.65,2,1199
"Continental, Chinese",3.65,2,100
"Cafe, North Indian, Chinese",3.644444444444445,9,414
"Italian, Pizza",3.6374999999999997,24,5828
Mexican,3.636111111111111,36,7193
"Sushi, Asian",3.6333333333333333,3,144
"North Indian, Chinese, Cafe",3.6333333333333333,3,1881
"Bakery, Desserts, Beverages",3.633333333333333,3,281
"Chinese, Asian",3.625,4,692
"North Indian, European",3.62,5,1164
Bengali,3.62,5,2336
"Continental, Italian, North Indian",3.6166666666666667,6,5535
"North Indian, Chinese, Continental, Italian",3.608333333333333,12,4837
"Cafe, Italian, North Indian",3.6,1,365
"Fast Food, Pizza, Burger",3.6,1,165
"Cafe, Italian, Continental, Mexican, Mediterranean",3.6,1,555
"North Indian, Chinese, Italian, Mediterranean",3.6,1,877
"North Indian, European, South Indian",3.6,1,43
"Fast Food, Mexican, Tex-Mex",3.6,1,20
"Cafe, Korean",3.6,1,110
"Healthy Food, North Indian",3.6,1,57
"Healthy Food, European, Continental, Salad",3.6,1,461
"Cafe, Continental, Italian, Chinese",3.6,1,83
"Malaysian, Thai",3.6,1,64
"Sandwich, Sushi, Tapas",3.6,1,114
"Continental, Chinese, Biryani, North Indian",3.6,1,73
"American, Italian, Cafe",3.6,1,480
"American, Italian, North Indian, Chinese, Lebanese",3.6,1,1428
"Chinese, North Indian, Italian, Fast Food",3.6,1,346
"Chinese, North Indian, Continental",3.6,1,106
"Cafe, American, Italian, Filipino",3.6,1,29
"Cafe, American, Continental, Nepalese",3.6,1,31
"Southern, Cajun, Soul Food",3.6,1,432
"Continental, American, Italian, North Indian, Chinese",3.6,1,23
"Coffee and Tea, Tapas, Australian",3.6,1,96
"Coffee and Tea, Tea, Modern Australian",3.6,1,29
"Breakfast, Diner",3.6,1,253
"Korean, Japanese, Chinese, Asian",3.6,1,38
"Chinese, Tibetan, Japanese",3.6,1,412
"Thai, Japanese",3.6,1,148
"American, International, Southwestern",3.6,1,30
"Continental, American, North Indian",3.6,1,30
"Burger, Fast Food, Grill",3.6,1,131
"Burger, Juices, Finger Food",3.6,1,548
"Continental, Fast Food, North Indian, Asian",3.6,1,742
"Seafood, American",3.6,2,686
"Burger, Desserts, Sandwich",3.6,1,41
"Continental, Seafood, Chinese, North Indian, Biryani",3.6,1,193
"North Indian, South Indian, Asian, Continental",3.6,1,375
"Cafe, Continental, European, Beverages",3.6,1,140
"Cafe, Continental, Chinese, North Indian, Italian",3.6,1,244
"Desserts, Bakery, Pizza, Burger, Continental",3.6,1,58
"Mughlai, Chinese, Cafe, BBQ, Cajun",3.6,1,84
"Rajasthani, Gujarati, Mughlai",3.6,1,59
Naga,3.6,3,301
"Continental, Kashmiri, Italian, North Indian, Moroccan",3.6,1,300
"Italian, Mexican, Cafe",3.6,1,296
"Italian, Lebanese, Fast Food, Bakery",3.6,1,29
"Continental, Mexican, Italian",3.6,1,111
"Italian, Lebanese, Mexican",3.6,1,66
"Continental, North Indian, Chinese, Italian, Finger Food",3.6,1,751
"Mexican, Italian, North Indian, Chinese",3.6,1,254
"Peruvian, Latin American",3.6,1,5
"Andhra, North Indian, Chinese, Seafood, Biryani",3.6,1,154
"North Indian, Continental, Asian, Chinese, Thai",3.6,1,305
"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",3.6,1,34
"Bakery, Beverages, Fast Food",3.6,1,40
"North Indian, Continental, Salad",3.6,1,43
"North Indian, Chinese, Thai, Continental",3.6,1,328
"Greek, Mediterranean",3.6,1,27
"Finger Food, Continental, Italian, Chinese",3.6,1,90
"Chinese, Seafood, Vegetarian",3.6,1,88
"Cafe, Tea, Desserts",3.6,1,34
"Indian, Seafood",3.6,1,101
"North Indian, Street Food, Chinese, South Indian, Mithai",3.6,1,85
"Cafe, Continental, North Indian",3.6,1,261
"Indian, Chinese, Continental",3.6,1,34
"North Indian, Mediterranean, Chinese",3.6,1,1566
New American,3.6,1,144
"Cafe, North Indian, Italian, Japanese, Fast Food",3.6,1,391
"Pizza, Italian, Fast Food",3.6,1,111
"North Indian, Mughlai, South Indian, Rajasthani, Street Food",3.6,1,496
"Continental, Seafood, North Indian, Asian",3.6,1,1040
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6,1,210
"Asian, Sushi, Vegetarian",3.6,1,132
"Ice Cream, Fast Food, Beverages",3.5999999999999996,2,89
"South Indian, Kerala",3.5999999999999996,2,70
"Coffee and Tea, Sandwich",3.5999999999999996,2,162
"Cafe, Fast Food, Desserts",3.5999999999999996,2,268
"Cafe, Italian",3.5833333333333335,12,1970
"North Indian, Chinese, Thai",3.5799999999999996,5,626
"North Indian, Chinese, Continental, Fast Food",3.575,4,210
"North Indian, Mughlai, Biryani",3.5749999999999997,8,1760
Continental,3.566666666666667,21,3455
"Cafe, Continental",3.5583333333333336,12,3664
"European, Continental, North Indian",3.55,2,364
"European, North Indian",3.55,2,249
"North Indian, Mughlai, Chinese, Italian",3.55,2,285
"Healthy Food, Continental, Juices, Salad",3.55,2,416
"Chinese, Thai, Asian",3.55,8,1255
"Mediterranean, Italian, Continental, Spanish, North Indian",3.55,2,2546
"Burger, Pizza, Sandwich",3.55,2,137
"Continental, North Indian, Asian",3.54,5,686
"Continental, North Indian, Chinese",3.54,10,1263
"Continental, Italian",3.5384615384615383,13,5213
Japanese,3.5352941176470587,17,2503
"Burger, Seafood, Steak",3.5333333333333337,3,332
"Cafe, Italian, Chinese",3.5333333333333337,3,1040
"Bakery, Chinese, Fast Food",3.533333333333333,3,503
Maharashtrian,3.533333333333333,6,455
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.5285714285714285,14,3353
"Biryani, Hyderabadi",3.5285714285714285,7,836
"Fast Food, Italian, Pizza",3.525,4,249
Lebanese,3.522222222222222,9,958
"North Indian, Chinese, Italian, Continental",3.5125,8,10744
"North Indian, Chinese, Thai, Italian, Middle Eastern",3.5,1,384
"Bakery, Desserts, North Indian, Bengali, South Indian",3.5,1,37
"Finger Food, Italian",3.5,1,14
"North Indian, Chinese, Mughlai, Continental",3.5,1,133
"North Indian, Chinese, Seafood, Chettinad",3.5,1,168
"Cafe, Italian, Continental, Chinese",3.5,2,1563
"North Indian, Continental, European",3.5,1,706
"American, Chinese, North Indian, Italian",3.5,1,42
"Chinese, Seafood, Thai",3.5,1,234
"French, Continental, North Indian",3.5,1,328
"Tea, Modern Australian",3.5,1,37
"Goan, Mangalorean, Continental, French",3.5,1,225
"North Indian, Street Food, Mughlai",3.5,1,206
"Cafe, Pizza",3.5,1,54
"Fast Food, Italian, Beverages",3.5,1,60
"North Indian, Continental, Lebanese",3.5,1,24
"Indian, Middle Eastern",3.5,2,263
"North Indian, Continental, Thai, Chinese",3.5,1,326
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",3.5,1,349
"Bakery, Desserts, Fast Food, North Indian",3.5,1,105
"Healthy Food, Continental, North Indian, Salad",3.5,1,30
"Finger Food, European, North Indian",3.5,1,422
"Cafe, North Indian, Lebanese, Continental",3.5,1,30
"North Eastern, Continental, South Indian, Fast Food",3.5,1,194
"North Indian, Mughlai, Italian, Chinese",3.5,1,247
"Caribbean, Seafood, Steak",3.5,1,479
"Cafe, South Indian, North Indian, Bakery",3.5,1,126
"North Indian, Mughlai, Kashmiri",3.5,1,208
"North Indian, Mughlai, Biryani, Bengali",3.5,1,443
"Steak, Tapas, Bar Food",3.5,1,51
"American, Italian, Mughlai, North Indian",3.5,1,140
"Continental, Burger, American",3.5,1,129
"Continental, American, Tex-Mex, North Indian",3.5,1,1863
"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",3.5,1,1198
