Cuisines,Average_Rating,Restaurant_Count
"Continental, American, Asian, North Indian",4.15,4
"Continental, American, Cafe",4.1,1
"Continental, American, Fast Food",3.9,1
"Continental, American, Italian",3.766666666666667,3
"Continental, American, Italian, Bakery",3.9,1
"Continental, American, Italian, Mediterranean",3.8,1
"Continental, American, Italian, North Indian, Chinese",3.6,1
"Continental, American, Italian, North Indian, Chinese, Cafe",4.7,1
"Continental, American, Italian, Seafood, North Indian, Cafe",4.0,2
"Continental, American, North Indian",3.6,1
"Continental, American, North Indian, Chinese",3.6500000000000004,2
"Continental, American, Seafood",4.2,1
"Continental, American, Tex-Mex, North Indian",3.5,1
"Continental, Asian",4.2,1
"Continental, Asian, Italian, Mediterranean, Burger",3.8,1
"Continental, Asian, North Indian",3.4,1
"Continental, Asian, North Indian, Italian",3.5,1
"Continental, Asian, Sushi",4.2,1
"Continental, Burger, American",3.5,1
"Continental, Burger, Pizza, North Indian, European, Finger Food",3.9,1
"Continental, Cafe",3.7,1
"Continental, Cafe, Desserts, Bakery",4.3,1
"Continental, Cafe, Italian, Desserts",4.4,1
"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai",3.4,1
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",4.5,1
"Continental, Chinese",3.65,2
"Continental, Chinese, Biryani, North Indian",3.6,1
"Continental, Chinese, Fast Food",0.0,1
"Continental, Chinese, Italian, Bakery",4.2,1
"Continental, Chinese, Italian, Cafe",3.4,1
"Continental, Chinese, Italian, Finger Food",4.3,1
"Continental, Chinese, Japanese, North Indian, Thai",3.0,1
"Continental, Chinese, Mexican, North Indian",3.8,1
"Continental, Chinese, North Indian",3.042857142857143,7
"Continental, Chinese, North Indian, Healthy Food",3.2,1
"Continental, Chinese, North Indian, Indian",0.0,1
"Continental, Chinese, North Indian, Mughlai",3.1,1
"Continental, Chinese, Thai",4.1,1
"Continental, Chinese, Thai, Malaysian, North Indian",3.8,1
"Continental, Chinese, Thai, Mediterranean",3.4,1
"Continental, Chinese, Thai, Mughlai, North Indian",3.8499999999999996,2
"Continental, European",3.9000000000000004,2
"Continental, European, Asian, North Indian, Chinese, Italian",4.1,1
"Continental, European, North Indian",2.6,2
"Continental, European, North Indian, French",4.0,1
"Continental, Fast Food",3.266666666666667,3
"Continental, Fast Food, Asian, Italian",3.8,1
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",4.0,1
"Continental, Fast Food, Desserts, Indian",3.8,1
"Continental, Fast Food, Italian",2.1,2
"Continental, Fast Food, North Indian, Asian",3.6,1
"Continental, Fast Food, Tea",3.9,1
"Continental, Finger Food",3.4,1
"Continental, Finger Food, Chinese, North Indian",3.8,1
"Continental, Goan, Seafood, North Indian",4.5,2
"Continental, Healthy Food",3.75,6
"Continental, Indian",4.9,1
"Continental, Italian",3.5384615384615383,13
"Continental, Italian, American",4.1,1
"Continental, Italian, American, North Indian",3.3,1
"Continental, Italian, Asian, Indian",4.7,1
"Continental, Italian, Chinese",4.1,1
"Continental, Italian, Fast Food",0.0,1
"Continental, Italian, Mediterranean",3.8,1
"Continental, Italian, Mediterranean, Asian",4.1,1
"Continental, Italian, Mexican",3.4,1
"Continental, Italian, North Indian",3.6166666666666667,6
"Continental, Italian, North Indian, American",3.5,1
"Continental, Italian, North Indian, Chinese",4.0,1
"Continental, Italian, North Indian, Chinese, Lebanese",3.8,1
"Continental, Italian, North Indian, Lebanese",2.8,1
"Continental, Italian, North Indian, Lebanese, Thai",4.0,1
"Continental, Italian, North Indian, Mughlai",4.4,1
"Continental, Italian, Pizza, Asian",4.6,1
"Continental, Italian, Thai, Finger Food",4.0,1
"Continental, Juices, Cafe, Desserts, Salad, Italian",4.2,1
"Continental, Kashmiri, Italian, North Indian, Moroccan",3.6,1
"Continental, Kerala",4.5,1
"Continental, Lebanese, Mexican",0.0,1
"Continental, Mediterranean, Italian, North Indian",4.0,1
"Continental, Mexican",4.6,1
"Continental, Mexican, American, Fast Food, Italian, Chinese",3.9,1
"Continental, Mexican, American, Italian, North Indian",3.7,1
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",4.0,1
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",4.1,1
"Continental, Mexican, Fast Food, Chinese",3.5,2
"Continental, Mexican, Fast Food, North Indian, Chinese",3.1,1
"Continental, Mexican, Italian",3.6,1
"Continental, Mexican, Mediterranean",3.0,1
"Continental, Mexican, North Indian, Chinese",3.7,1
"Continental, Middle Eastern, Asian",4.8,1
"Continental, Modern Indian, Asian",4.0,1
"Continental, North Indian",3.423076923076923,13
"Continental, North Indian, American, Italian, Mexican",4.3,1
"Continental, North Indian, Asian",3.54,5
"Continental, North Indian, Chinese",3.54,10
"Continental, North Indian, Chinese, Arabian, Thai",4.3,1
"Continental, North Indian, Chinese, Asian",4.1,1
"Continental, North Indian, Chinese, Cafe",3.5,2
"Continental, North Indian, Chinese, European, Asian",3.9,1
"Continental, North Indian, Chinese, Italian",4.2,1
"Continental, North Indian, Chinese, Italian, Finger Food",3.6,1
"Continental, North Indian, Chinese, Mediterranean",4.1,1
"Continental, North Indian, Chinese, Mughlai, Asian",3.8000000000000003,2
"Continental, North Indian, European",3.7,1
"Continental, North Indian, European, Asian",4.0,1
"Continental, North Indian, European, Finger Food",4.2,1
"Continental, North Indian, Fast Food, Street Food, South Indian",0.0,1
"Continental, North Indian, Finger Food",3.4,1
"Continental, North Indian, Italian",3.6666666666666665,6
"Continental, North Indian, Italian, Asian",3.85,2
"Continental, North Indian, Italian, Chinese",4.2,1
"Continental, North Indian, Italian, Seafood, Goan",3.5,1
"Continental, North Indian, Mexican",3.2,1
"Continental, North Indian, Mughlai, Burmese",4.3,2
"Continental, North Indian, Mughlai, Chinese",3.2,2
"Continental, North Indian, Mughlai, Italian",4.1,1
"Continental, North Indian, South Indian",1.9,2
"Continental, North Indian, South Indian, Italian",3.9,1
"Continental, North Indian, Thai, Chinese",4.3,1
"Continental, Seafood, Burger, South African, Finger Food, Grill",4.0,1
"Continental, Seafood, Chinese, North Indian, Biryani",3.6,1
"Continental, Seafood, Goan, Andhra, Kerala, Thai",4.2,1
"Continental, Seafood, North Indian",3.3,1
"Continental, Seafood, North Indian, Asian",3.6,1
"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International",4.5,1
"Continental, South Indian",3.8,1
"Continental, Tex-Mex",3.8,1
"Continental, Thai, Chinese, North Indian",3.2,1
"Cuban, Spanish",4.4,1
Cuisine Varies,0.0,1
Desserts,2.7150943396226417,53
"Desserts, American",4.0,1
"Desserts, Bakery",3.272727272727273,11
"Desserts, Bakery, Fast Food",3.3333333333333335,3
"Desserts, Bakery, Pizza, Burger, Continental",3.6,1
"Desserts, Bakery, Western",4.6,1
"Desserts, Bar Food",4.7,1
"Desserts, Beverages",2.8642857142857143,14
"Desserts, Beverages, Juices",3.7,1
"Desserts, B�_rek",4.7,1
"Desserts, Cafe",4.266666666666667,3
"Desserts, Cafe, Mexican",4.7,1
"Desserts, Fast Food",3.2166666666666663,6
"Desserts, Fast Food, Chinese",3.2,1
"Desserts, Fast Food, Ice Cream",4.0,1
"Desserts, Greek, Sandwich",4.3,1
"Desserts, Ice Cream",3.2961538461538464,26
"Desserts, Ice Cream, Fast Food",1.0,3
"Desserts, Ice Cream, North Indian",3.5,1
"Desserts, Ice Cream, Pizza",0.0,1
"Desserts, Italian, Pizza",4.1,1
"Desserts, Latin American, Argentine",4.1,1
"Desserts, Middle Eastern, Turkish",3.9,1
"Desserts, Mithai",2.9,1
"Desserts, North Indian",0.0,1
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",3.9,1
"Desserts, Pizza, Ice Cream",3.5,1
"Desserts, Sandwich",4.050000000000001,2
"Desserts, Sandwich, Ice Cream",4.6,1
"Desserts, Sandwich, Southern",3.9,1
"Desserts, Street Food",2.185714285714286,7
"Desserts, Thai",3.7,1
Drinks Only,1.75,2
European,3.314285714285714,7
"European, American",4.1,2
"European, American, Street Food",1.85,2
"European, Arabian, Japanese, Bakery, Desserts",3.9,1
"European, Asian",4.3,1
"European, Asian, Indian",4.9,1
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",4.1,1
"European, Asian, North Indian, Italian, Continental, Pizza",4.1,1
"European, Cafe",4.2,2
"European, Cafe, Italian",4.3,1
"European, Chinese",3.8,1
"European, Chinese, North Indian, Italian",4.05,4
"European, Contemporary",4.9,1
"European, Continental",3.66,5
"European, Continental, North Indian",3.55,2
"European, Continental, Pizza",4.2,1
"European, Desserts",4.2,2
"European, German",4.9,1
"European, International, Tapas",4.4,1
"European, Italian",3.75,4
"European, Italian, Cafe",4.1,1
"European, Italian, Desserts",4.2,1
"European, Italian, Mediterranean",4.2,1
"European, Italian, North Indian",4.1,2
"European, Italian, Thai, Chinese, North Indian",3.2,1
"European, Lebanese, Mediterranean",4.2,1
"European, Mediterranean, Contemporary",4.2,1
"European, Mediterranean, North Indian",4.8,3
"European, North Indian",3.55,2
"European, North Indian, Chinese",2.2,1
"European, North Indian, Continental, Italian",3.7,1
"European, North Indian, Mediterranean, American",4.5,1
"European, Pizza",4.1,1
"European, South African",4.6,1
"European, South African, Steak",4.5,1
"European, Spanish",4.3,1
"European, Sushi, Italian",3.0,1
Fast Food,2.118361581920904,354
"Fast Food, American",3.75,2
"Fast Food, American, Burger",4.0,1
"Fast Food, American, Italian",3.6500000000000004,2
"Fast Food, American, Salad, Healthy Food",3.4,1
"Fast Food, Bakery",2.566666666666667,9
"Fast Food, Beverages",2.3272727272727276,44
"Fast Food, Beverages, Desserts",2.1,2
"Fast Food, Biryani",4.0,1
"Fast Food, Burger",3.4035714285714285,56
"Fast Food, Cafe",3.2,1
"Fast Food, Cafe, Desserts, Bakery",3.9,1
"Fast Food, Cafe, Italian, North Indian, Chinese",3.2,1
"Fast Food, Chinese",2.112195121951219,41
"Fast Food, Chinese, Bakery",3.3000000000000003,3
"Fast Food, Chinese, Bengali",3.3,1
"Fast Food, Chinese, Burger",0.0,1
"Fast Food, Chinese, Italian",3.1,1
"Fast Food, Chinese, Mithai, Street Food",2.9,1
"Fast Food, Chinese, North Indian",3.4,2
"Fast Food, Continental, Italian, Bakery",3.2,1
"Fast Food, Desserts",2.35,4
"Fast Food, Desserts, Beverages",0.0,1
"Fast Food, Desserts, Ice Cream, Beverages",2.6,1
"Fast Food, French",3.0,1
"Fast Food, Healthy Food",3.7,1
"Fast Food, Italian",2.4,7
"Fast Food, Italian, Beverages",3.5,1
"Fast Food, Italian, Chinese",4.0,1
"Fast Food, Italian, Desserts, Beverages",3.3,1
"Fast Food, Italian, North Indian, Chinese",3.3,2
"Fast Food, Italian, Pizza",3.525,4
"Fast Food, Maharashtrian, North Indian",2.7,1
"Fast Food, Mexican, Tex-Mex",3.6,1
"Fast Food, Mithai, Bakery",3.3,1
"Fast Food, Mughlai",0.0,1
"Fast Food, Mughlai, Armenian",0.0,1
"Fast Food, North Indian",2.373913043478261,46
"Fast Food, North Indian, Bakery",3.1,1
"Fast Food, North Indian, Beverages",1.9,2
"Fast Food, North Indian, Chinese",2.7545454545454544,11
"Fast Food, North Indian, Chinese, Desserts",2.8,1
"Fast Food, North Indian, Chinese, Desserts, Ice Cream",2.5,1
"Fast Food, North Indian, Chinese, South Indian, Ice Cream",2.7,1
"Fast Food, North Indian, Desserts, Ice Cream",2.75,2
"Fast Food, North Indian, Mughlai",4.0,1
"Fast Food, North Indian, South Indian",0.7333333333333334,3
"Fast Food, North Indian, South Indian, Chinese",2.7,1
"Fast Food, North Indian, South Indian, Chinese, Bakery",3.2,1
"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",3.3,1
"Fast Food, Pizza",2.0272727272727273,11
"Fast Food, Pizza, Burger",3.6,1
"Fast Food, Raw Meats",0.0,1
"Fast Food, Seafood",3.7,1
"Fast Food, South Indian",2.1,2
"Fast Food, South Indian, Chinese",3.2,1
"Fast Food, South Indian, Chinese, Mithai",2.9,1
"Fast Food, South Indian, Mithai",0.0,1
"Fast Food, Street Food",2.2666666666666666,18
"Fast Food, Street Food, Beverages",1.65,2
"Fast Food, Street Food, Chinese",2.9,1
"Fast Food, Street Food, South Indian",4.4,1
"Fast Food, Tea",2.8,1
"Fast Food, Turkish",3.8000000000000003,3
Filipino,4.5,3
"Filipino, Japanese, Asian",4.5,1
"Filipino, Mexican",4.85,2
Finger Food,2.8755102040816327,49
"Finger Food, American, Continental, North Indian, Italian",4.6,1
"Finger Food, Continental, Italian",3.7,2
"Finger Food, Continental, Italian, Chinese",3.6,1
"Finger Food, Continental, North Indian",3.8,1
"Finger Food, Continental, North Indian, Chinese",3.1,1
"Finger Food, Continental, North Indian, Italian, Chinese",3.7,1
"Finger Food, European",3.2,1
"Finger Food, European, North Indian",3.5,1
"Finger Food, Italian",3.5,1
"Finger Food, Italian, Middle Eastern",3.7,1
"Finger Food, Italian, North Indian",4.1,2
"Finger Food, Italian, Spanish, Greek",4.1,1
"Finger Food, North Indian",3.7,2
"Finger Food, North Indian, Chinese",2.0666666666666664,3
"Finger Food, North Indian, Continental, Chinese, Italian",3.0,1
"Finger Food, North Indian, Continental, Italian",3.7,1
"Finger Food, North Indian, Continental, Italian, Mediterranean",4.0,1
"Finger Food, North Indian, Italian",3.44,5
"Finger Food, North Indian, Italian, Continental, Thai, South Indian",4.5,1
"Finger Food, North Indian, Italian, European, Continental",4.1,1
French,4.185714285714286,7
"French, Brazilian, Beverages",4.6,1
"French, Continental, North Indian",3.5,1
"French, Italian",3.8,1
"French, Japanese, Desserts",4.8,1
"French, Kiwi",4.4,1
"French, Mediterranean, European",3.8,1
"French, Western",4.3,1
German,4.166666666666667,3
"German, Ice Cream",3.9,1
Goan,3.25,2
"Goan, American, Portuguese",3.8,1
"Goan, Chinese, Indian, North Indian",4.3,1
"Goan, Mangalorean, Continental, French",3.5,1
"Goan, North Indian, Chinese",3.8,1
"Goan, Seafood",3.7,1
"Goan, Seafood, Chinese",4.2,1
"Goan, Seafood, Chinese, North Indian",4.4,1
"Goan, Seafood, North Indian",4.5,1
"Gourmet Fast Food, Burger",4.3,1
Greek,4.7,1
"Greek, Italian",3.8,1
"Greek, Lebanese",4.2,1
"Greek, Mediterranean",3.6,1
"Greek, Mediterranean, Middle Eastern",0.0,1
"Greek, Mediterranean, Vegetarian",4.2,1
"Grill, Burger",4.1,1
"Grill, Steak, Burger, Sushi, Tapas",4.3,1
Gujarati,3.8333333333333335,3
"Gujarati, Rajasthani",3.25,2
"Gujarati, Rajasthani, North Indian, Fast Food",3.8,1
"Gujarati, South Indian, North Indian",3.7,1
Hawaiian,4.5,1
"Hawaiian, Seafood",4.9,1
"Hawaiian, Seafood, Steak",4.333333333333333,3
Healthy Food,2.7133333333333334,15
"Healthy Food, American, Burger, Salad",3.4,1
"Healthy Food, Beverages",2.6500000000000004,4
"Healthy Food, Cafe, Desserts, Italian, Bakery",3.8,1
"Healthy Food, Continental",3.475,4
"Healthy Food, Continental, Italian",4.0,1
"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",4.0,1
"Healthy Food, Continental, Juices, Salad",3.55,2
"Healthy Food, Continental, North Indian, Salad",3.5,1
"Healthy Food, European, Continental, Salad",3.6,1
"Healthy Food, Fast Food",3.9,1
"Healthy Food, Fast Food, Salad",3.2,1
"Healthy Food, Italian, Juices, Beverages",3.7,1
"Healthy Food, Juices",1.65,4
"Healthy Food, Juices, Salad",3.7,1
"Healthy Food, Juices, Salad, Italian, Continental",4.05,2
"Healthy Food, North Indian",3.6,1
"Healthy Food, North Indian, Beverages",3.7,1
"Healthy Food, North Indian, Chinese, Continental",3.7,1
"Healthy Food, North Indian, Continental",4.0,1
"Healthy Food, North Indian, Italian, Salad",3.4,1
"Healthy Food, Salad",3.7,8
"Healthy Food, Salad, Italian, Continental",3.9,1
"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",4.2,1
Hyderabadi,2.85,2
"Hyderabadi, Awadhi",4.1,1
"Hyderabadi, Biryani",0.0,1
"Hyderabadi, Biryani, North Indian",4.2,1
"Hyderabadi, Fast Food",3.9,1
"Hyderabadi, North Indian",3.3,2
"Hyderabadi, North Indian, Biryani",3.6999999999999997,2
Ice Cream,2.09054054054054,74
"Ice Cream, Bakery",0.0,1
"Ice Cream, Beverages",2.466666666666667,3
"Ice Cream, Beverages, Fast Food",1.0333333333333334,6
"Ice Cream, Desserts",2.774698795180723,83
"Ice Cream, Desserts, Beverages",2.8333333333333335,3
"Ice Cream, Desserts, Cafe",3.1,1
"Ice Cream, Desserts, Continental",4.5,1
"Ice Cream, Desserts, Fast Food",3.0,1
"Ice Cream, Desserts, North Indian, Street Food",3.8,1
"Ice Cream, Fast Food, Beverages",3.5999999999999996,2
"Ice Cream, Mithai, North Indian, Street Food",4.3,1
"Ice Cream, Street Food",2.9,1
Indian,4.25,18
"Indian, Asian",4.4,1
"Indian, Asian, Durban, International, Desserts",4.3,1
"Indian, Cafe",3.8,1
"Indian, Cafe, Curry",4.5,1
"Indian, Chinese, Continental",3.6,1
"Indian, Continental",4.8,1
"Indian, Curry",4.3,2
"Indian, Grill",3.7,1
"Indian, International, Vegetarian",3.8,1
"Indian, Mediterranean, Middle Eastern",4.6,1
"Indian, Middle Eastern",3.5,2
"Indian, Mughlai, South Indian, Biryani",4.1,1
"Indian, North Indian",4.733333333333333,3
"Indian, North Indian, Chinese",4.15,2
"Indian, North Indian, Curry, Cafe",4.7,1
"Indian, North Indian, Mughlai, Biryani",4.0,1
"Indian, North Indian, South Indian, Chinese",3.9,1
"Indian, North Indian, Street Food",4.4,1
"Indian, Pakistani",4.0,1
"Indian, Pakistani, Curry",4.7,1
"Indian, Persian",0.0,1
"Indian, Rajasthani",4.1,1
"Indian, Seafood",3.6,1
"Indian, South Indian",3.7,2
"Indian, Street Food",3.966666666666667,3
Indonesian,3.7,1
International,4.233333333333333,6
"International, Indian",4.5,1
"International, Italian, Southern",4.8,1
"International, Mediterranean, Sandwich",4.5,1
"International, Pizza",3.8,1
"International, Southern",4.1,1
"International, Southern, Vegetarian",4.2,1
"International, Tapas, Vegetarian",4.5,1
Irish,4.3,1
Italian,3.6574074074074074,54
"Italian, American, Lebanese",4.3,1
"Italian, American, Pizza",4.8,1
"Italian, Bakery, Continental",4.9,1
"Italian, Burger, Charcoal Grill",3.8,1
"Italian, Cafe",4.2,1
"Italian, Cafe, Chinese, Continental",4.3,1
"Italian, Cafe, Desserts",3.7,1
"Italian, Chinese",0.0,2
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.725,4
"Italian, Chinese, Fast Food, North Indian",3.7,1
"Italian, Chinese, Mexican, Thai, North Indian",4.0,1
"Italian, Chinese, North Indian",3.45,2
"Italian, Continental",3.6833333333333336,6
"Italian, Continental, American",0.0,1
"Italian, Continental, Cafe",4.15,2
"Italian, Continental, Chinese",4.1,1
"Italian, Continental, Chinese, Mexican",4.1,1
"Italian, Continental, Chinese, North Indian",3.3,1
"Italian, Continental, European, Cafe",4.475,4
"Italian, Continental, Fast Food, Chinese",3.4,1
"Italian, Continental, Fast Food, North Indian",0.0,1
"Italian, Continental, Finger Food",3.3,1
"Italian, Continental, Goan",3.7,1
"Italian, Continental, Mexican, Cafe, Bakery",4.4,1
"Italian, Continental, Mexican, Japanese, American, British",3.9,1
"Italian, Continental, Mexican, Lebanese",4.1,1
"Italian, Continental, Mexican, North Indian",3.9,1
"Italian, Continental, North Indian",3.9,1
"Italian, Continental, North Indian, Cafe",4.2,1
"Italian, Continental, North Indian, Chinese",3.0,2
"Italian, Deli",4.9,1
"Italian, European",3.15,2
"Italian, European, Cafe",4.0,1
"Italian, Fast Food",2.5,10
"Italian, Fast Food, North Indian, Chinese",3.3,1
"Italian, Fast Food, South Indian",0.0,1
"Italian, French",4.1,1
"Italian, French, Bakery, Cafe",3.2,1
"Italian, French, Cafe",4.5,1
"Italian, French, European, Cafe",3.7,1
"Italian, Fusion, Cafe",3.8,1
"Italian, German, Continental",4.0,1
"Italian, Lebanese, Fast Food, Bakery",3.6,1
"Italian, Lebanese, Mexican",3.6,1
"Italian, Lebanese, North Indian",3.5,1
"Italian, Mediterranean",3.8,1
"Italian, Mediterranean, Continental, North Indian",4.1,2
"Italian, Mediterranean, Pizza",4.133333333333333,3
"Italian, Mediterranean, Sushi, Desserts",4.1,1
"Italian, Mexican",3.5,1
"Italian, Mexican, American, Mediterranean",4.2,1
"Italian, Mexican, Cafe",3.6,1
"Italian, Mexican, Chinese",3.8,1
"Italian, Mexican, Chinese, Thai, North Indian",4.0,1
"Italian, Mexican, Continental",4.4,1
"Italian, Mexican, Continental, North Indian, Finger Food",4.0,1
"Italian, Mexican, Lebanese, Continental",3.8,1
"Italian, Mexican, Mediterranean",4.2,1
"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American",4.3,1
"Italian, North Indian",1.7,2
"Italian, North Indian, Chinese",3.4,1
"Italian, North Indian, Chinese, Mughlai",3.75,2
"Italian, North Indian, Continental",3.4333333333333336,3
"Italian, North Indian, Desserts",4.0,1
"Italian, North Indian, Desserts, Continental",4.1,1
"Italian, North Indian, South Indian",3.7,1
"Italian, Pizza",3.6374999999999997,24
"Italian, Pizza, Bakery",2.6625,8
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.4,1
"Italian, Pizza, Cafe",3.8,1
"Italian, Pizza, Fast Food",2.875,36
"Italian, Pizza, Lebanese",3.3,1
"Italian, Pizza, Sandwich",4.220000000000001,5
"Italian, Pizza, Seafood",3.7,1
"Italian, Pizza, Vegetarian",3.7,1
"Italian, Seafood, Mediterranean, Desserts, Cafe",4.3,1
"Italian, Seafood, Vegetarian",4.4,1
"Italian, Tex-Mex, Continental, North Indian",3.9,1
"Italian, World Cuisine",3.7,1
Japanese,3.5352941176470587,17
"Japanese, American, North Indian, Fast Food",3.5,1
"Japanese, Asian",3.85,2
"Japanese, Asian, Seafood, Sushi",4.0,1
"Japanese, Chinese",3.4,1
"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",3.15,2
"Japanese, Chinese, Asian, Thai",3.7,1
"Japanese, Chinese, Malaysian, Thai, Vietnamese",3.3,1
"Japanese, Chinese, Thai",3.7,2
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",4.1,1
"Japanese, French",3.1,1
"Japanese, Korean",4.1000000000000005,3
"Japanese, Seafood, Sushi",4.2,1
"Japanese, Steak",3.9,1
"Japanese, Steak, Sushi",3.725,8
"Japanese, Sushi",4.044444444444444,18
"Japanese, Sushi, Asian",3.9,1
"Japanese, Sushi, Ramen",4.4,1
"Japanese, Sushi, Teriyaki",4.1,1
"Japanese, Sushi, Thai",3.8000000000000003,3
"Japanese, Thai, Chinese",3.0,1
"Japanese, Thai, Italian, Asian",3.65,2
"Japanese, Thai, Sushi",3.9,1
"Japanese, Tibetan, Vietnamese, Korean",3.8,1
Juices,0.8,4
"Juices, Beverages",3.5,1
"Juices, Beverages, Fast Food",3.0,1
"Juices, Beverages, Healthy Food",4.3,1
"Juices, Desserts",4.0,2
"Juices, Fast Food",0.0,1
"Juices, Healthy Food",4.35,2
Kashmiri,2.5,8
"Kashmiri, Chinese",3.1,1
"Kashmiri, Chinese, Mughlai",3.3,1
"Kashmiri, Mughlai",4.2,1
"Kashmiri, North Indian",2.9,1
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",4.4,1
Kebab,4.55,2
"Kebab, Desserts, Turkish Pizza",4.300000000000001,2
"Kebab, Izgara",4.4,1
"Kebab, Turkish Pizza",4.325,4
"Kebab, Turkish Pizza, D�_ner",4.4,1
Kerala,2.9,5
"Kerala, Biryani",3.75,2
"Kerala, Fast Food",3.7,1
"Kerala, Indian, Chinese, Bakery",4.0,1
"Kerala, South Indian",2.266666666666667,3
"Kerala, South Indian, Chinese, Biryani",3.5,1
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",4.3,1
"Kiwi, European",4.2,1
Korean,3.716666666666667,6
"Korean, Beverages, Desserts",3.9,1
"Korean, Chinese",3.0,1
"Korean, Japanese, Chinese, Asian",3.6,1
Latin American,4.3,2
"Latin American, Italian",4.0,1
"Latin American, Mexican",3.2,1
"Latin American, Mexican, Southwestern",4.4,2
"Latin American, Steak",4.1,1
Lebanese,3.522222222222222,9
"Lebanese, Arabian",3.766666666666667,3
"Lebanese, Arabian, Middle Eastern",4.0,1
"Lebanese, Arabian, Moroccan",1.5,3
"Lebanese, Chinese",3.2,1
"Lebanese, Chinese, Fast Food",2.4,1
"Lebanese, Italian",4.3,1
"Lebanese, Mediterranean, Arabian",3.5,1
"Lebanese, Mediterranean, Middle Eastern, Arabian",3.8666666666666667,3
"Lebanese, North Indian",3.4,1
"Lebanese, North Indian, Fast Food",0.0,1
Lucknowi,2.4,3
"Lucknowi, Biryani",3.1,1
"Lucknowi, Mughlai",2.2,1
"Lucknowi, Mughlai, North Indian",0.0,1
Maharashtrian,3.533333333333333,6
Malaysian,4.2,2
"Malaysian, Indonesian",4.4,1
"Malaysian, North Indian, Sri Lankan",3.5,1
"Malaysian, Thai",3.6,1
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",4.0,1
"Malwani, North Indian, Chinese, Seafood",3.5,1
Mediterranean,3.0250000000000004,4
"Mediterranean, American, Asian",3.6500000000000004,2
"Mediterranean, Asian, Continental, North Indian, Arabian",4.6,1
"Mediterranean, Cafe, European",4.2,1
"Mediterranean, Chinese, Continental",4.3,1
"Mediterranean, Continental",4.2,1
"Mediterranean, Continental, Italian",3.7,1
"Mediterranean, Continental, North Indian, Italian",3.5,1
"Mediterranean, European",3.1,1
"Mediterranean, European, American, North Indian",3.8,1
"Mediterranean, Italian",4.333333333333333,3
"Mediterranean, Italian, American",4.3,1
"Mediterranean, Italian, Continental, Spanish, North Indian",3.55,2
"Mediterranean, Italian, European",4.15,2
"Mediterranean, Italian, Thai, European",3.9,1
"Mediterranean, Mexican, North Indian, American",4.1,1
"Mediterranean, Mughlai, Thai, North Indian, Chinese",3.5,1
"Mediterranean, Seafood",4.4,1
"Mediterranean, Tapas, Vegetarian",4.0,1
"Mediterranean, Turkish",4.2,1
Mexican,3.636111111111111,36
"Mexican, American",4.2,1
"Mexican, American, Healthy Food",4.9,1
"Mexican, American, Italian",4.199999999999999,2
"Mexican, American, Tex-Mex",4.5,1
"Mexican, American, Tex-Mex, Burger",4.7,3
"Mexican, Fast Food",3.8666666666666667,3
"Mexican, Grill",4.3,1
"Mexican, Italian",1.55,2
"Mexican, Italian, American",3.9,1
"Mexican, Italian, Fast Food",3.4,1
"Mexican, Italian, North Indian, Chinese",3.6,1
"Mexican, Italian, North Indian, Continental, Asian",3.3,1
"Mexican, Lebanese, Italian, Continental, Thai",3.1,1
"Mexican, North Indian",3.7,1
"Mexican, North Indian, European, Chinese, Italian",3.4,1
"Mexican, Southwestern, Sushi",4.2,1
"Mexican, Southwestern, Tex-Mex",4.2,1
"Mexican, Spanish",4.1,1
"Mexican, Tex-Mex",3.9,1
"Mexican, Vegetarian",4.5,1
"Middle Eastern, Arabian",4.2,1
"Middle Eastern, Mediterranean, North Indian",3.4000000000000004,2
Mithai,1.6267605633802817,71
"Mithai, Bakery",1.0333333333333334,3
"Mithai, Bakery, North Indian",0.0,1
"Mithai, Bakery, Street Food",2.8,1
"Mithai, Bakery, Street Food, Chinese, South Indian",3.0,1
"Mithai, Beverages",3.4,1
"Mithai, Chinese",0.9333333333333332,3
"Mithai, Chinese, Street Food",3.8,1
"Mithai, Fast Food",0.9285714285714286,7
"Mithai, North Indian",2.0166666666666666,6
"Mithai, North Indian, Chinese",2.9,1
"Mithai, North Indian, Chinese, Street Food",2.75,2
