Cuisines,Average_Rating,Restaurant_Count
"Asian, Vegetarian, Vietnamese, Bubble Tea",4.4,1
"Asian, Vietnamese",3.9,2
Assamese,0.0,1
"Assamese, Chinese",3.15,2
Australian,4.1,1
Awadhi,0.0,1
"Awadhi, Mughlai",0.0,1
"Awadhi, Mughlai, North Indian",0.0,1
"Awadhi, North Indian",0.0,1
"Awadhi, North Indian, Mughlai",3.8,1
BBQ,3.9777777777777774,9
"BBQ, Breakfast, Southern",4.9,1
"BBQ, Burger, Desserts",4.5,1
"BBQ, Burger, Seafood",3.6999999999999997,2
"BBQ, Caribbean, Cajun",4.5,1
"BBQ, Caribbean, Seafood",4.6,1
"BBQ, Grill, Brazilian",4.3,1
"BBQ, Sandwich",4.1,1
"BBQ, Southern",4.0,1
Bakery,1.9243119266055047,218
"Bakery, Arabian, Middle Eastern",4.2,1
"Bakery, Beverages",3.4,1
"Bakery, Beverages, Fast Food",3.6,1
"Bakery, Cafe",3.9,3
"Bakery, Cafe, Fast Food",4.3,1
"Bakery, Chinese",1.44,5
"Bakery, Chinese, Fast Food",3.533333333333333,3
"Bakery, Chinese, North Indian",0.0,1
"Bakery, Desserts",2.3176470588235296,170
"Bakery, Desserts, Bakery",3.1,1
"Bakery, Desserts, Beverages",3.633333333333333,3
"Bakery, Desserts, Cafe",4.0,3
"Bakery, Desserts, Chinese, Fast Food",3.4000000000000004,2
"Bakery, Desserts, Fast Food",3.3666666666666667,63
"Bakery, Desserts, Fast Food, Beverages",4.2,1
"Bakery, Desserts, Fast Food, Mithai",0.0,1
"Bakery, Desserts, Fast Food, North Indian",3.5,1
"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",3.6,1
"Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food",3.4,1
"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",3.4,1
"Bakery, Desserts, Healthy Food",0.0,1
"Bakery, Desserts, Ice Cream",3.4,1
"Bakery, Desserts, North Indian, Bengali, South Indian",3.5,1
"Bakery, Fast Food",2.399074074074074,108
"Bakery, Fast Food, Beverages",3.4,1
"Bakery, Fast Food, Chinese",2.5,4
"Bakery, Fast Food, Desserts",2.3666666666666667,3
"Bakery, Fast Food, Pizza",3.1,1
"Bakery, Fast Food, Street Food",2.9,1
"Bakery, French",4.1,1
"Bakery, Healthy Food",0.0,1
"Bakery, Italian, Chinese, Mexican",2.533333333333333,3
"Bakery, Italian, Fast Food, Chinese, Continental",2.9,1
"Bakery, Mithai",1.0,6
"Bakery, Mithai, Fast Food",2.9,1
"Bakery, North Indian",0.0,1
"Bakery, Pizza",0.0,1
"Bakery, Sandwich, Brazilian",4.4,1
"Bakery, Street Food",3.2,2
Bar Food,4.233333333333333,3
"Bar Food, Brazilian",1.8,2
"Bar Food, Modern Australian",3.8,1
"Bar Food, Sandwich, Seafood",4.0,1
"Bar Food, Seafood, Vegetarian",4.1,1
"Bar Food, Steak",3.5,1
Bengali,3.62,5
"Bengali, Chinese",0.0,1
"Bengali, Fast Food",3.2,1
"Bengali, North Indian",2.1999999999999997,6
"Bengali, North Indian, Chinese",3.7,2
"Bengali, Seafood",4.1,2
"Bengali, South Indian, North Indian, Mughlai",3.9,1
Beverages,2.4833333333333334,54
"Beverages, Bar Food, Fast Food",4.5,1
"Beverages, Desserts",1.8,2
"Beverages, Fast Food",2.4,15
"Beverages, Healthy Food",0.0,1
"Beverages, Ice Cream",3.1,1
"Beverages, International",4.8,1
"Beverages, Juices",3.1,1
"Beverages, Salad",4.3,1
"Beverages, Salad, Beverages",4.3,1
"Beverages, Street Food",3.2,1
Bihari,3.4333333333333336,3
"Bihari, Lucknowi, North Indian",4.0,1
Biryani,1.3981481481481481,54
"Biryani, Andhra",4.0,1
"Biryani, Chinese, North Indian",2.8,1
"Biryani, Hyderabadi",3.5285714285714285,7
"Biryani, Kerala",3.2,1
"Biryani, Lucknowi, North Indian",3.4,1
"Biryani, Mughlai",2.011764705882353,17
"Biryani, Mughlai, Bengali, North Indian",3.7,1
"Biryani, North Indian",2.5388888888888888,18
"Biryani, North Indian, Chinese, Mughlai",4.6,1
"Biryani, North Indian, Fast Food",2.7,1
"Biryani, North Indian, Hyderabadi",3.9666666666666663,3
"Biryani, North Indian, Mughlai",3.44,5
"Biryani, Pizza, Fast Food, Healthy Food",0.0,1
Brazilian,3.3,9
"Brazilian, Bar Food",4.675,4
"Brazilian, Bar Food, Beverages",4.6,1
"Brazilian, Cafe",0.0,1
"Brazilian, Grill",3.9,1
"Brazilian, Healthy Food, Juices, Pizza",4.6,1
"Brazilian, Italian",4.3,1
"Brazilian, Mineira",0.0,1
"Brazilian, North Eastern",4.4,1
"Brazilian, Seafood",4.2,1
"Brazilian, Steak",4.6,1
Breakfast,3.9,4
"Breakfast, Burger",3.6666666666666665,3
"Breakfast, Burger, Sandwich",3.7,1
"Breakfast, Cajun",4.1,1
"Breakfast, Coffee and Tea",3.7,2
"Breakfast, Coffee and Tea, Modern Australian",3.7,1
"Breakfast, Diner",3.6,1
"Breakfast, Diner, Sandwich",4.3,1
"Breakfast, Diner, Southern",3.7,1
"Breakfast, French",3.8,1
"Breakfast, Mexican",4.5,1
"Breakfast, Mexican, Southwestern",4.0,1
"Breakfast, Modern Australian",4.1,1
"Breakfast, Pizza",3.5,1
"Breakfast, Sandwich",4.4,2
"Breakfast, Spanish, Tapas",4.4,1
"Breakfast, Vegetarian",4.2,1
British,4.366666666666667,3
"British, Bar Food, Sandwich",4.1,1
"British, Burger, Cafe",4.1,1
"British, Cafe",3.8,1
"British, Chinese, Italian",3.8,1
"British, Contemporary",4.3,2
"British, French",4.4,1
"British, Scottish, Seafood",4.1,1
"British, Steak",4.0,1
Burger,4.45,6
"Burger, American",4.033333333333334,3
"Burger, American, Beverages",3.8,1
"Burger, American, Fast Food",3.85,6
"Burger, American, Fast Food, Italian, Pizza",4.5,1
"Burger, American, Grill",4.1,1
"Burger, Bar Food",3.95,2
"Burger, Bar Food, Southern",3.8,1
"Burger, Bar Food, Steak",4.9,1
"Burger, Bar Food, Vegetarian",3.8,1
"Burger, Coffee and Tea, Modern Australian",3.7,1
"Burger, Desserts",3.9,1
"Burger, Desserts, Bar Food",4.5,1
"Burger, Desserts, Fast Food",3.1363636363636362,22
"Burger, Desserts, Sandwich",3.6,1
"Burger, Desserts, Vegetarian",4.2,1
"Burger, Fast Food",3.1697674418604653,43
"Burger, Fast Food, Chinese",2.1333333333333333,3
"Burger, Fast Food, Chinese, Bakery",3.0,1
"Burger, Fast Food, Desserts, Beverages",4.0,1
"Burger, Fast Food, Grill",3.6,1
"Burger, Finger Food, Pizza",4.0,1
"Burger, German, Sandwich",2.2,1
"Burger, Greek, Sandwich",3.9,1
"Burger, Grill",4.0,1
"Burger, Izgara",4.3,1
"Burger, Juices, Finger Food",3.6,1
"Burger, Pizza",3.9,1
"Burger, Pizza, Biryani",4.3,1
"Burger, Pizza, Fast Food",0.0,1
"Burger, Pizza, Sandwich",3.55,2
"Burger, Sandwich, Seafood",4.4,1
"Burger, Seafood",4.0,1
"Burger, Seafood, Steak",3.5333333333333337,3
"Burger, Steak, Seafood",4.1,1
"Burmese, Chinese, Japanese, Malaysian, Thai",3.8666666666666667,3
"Burmese, Chinese, Thai",3.4,1
Cafe,2.890969899665552,299
"Cafe, American",4.6,1
"Cafe, American, Continental, Armenian, Fast Food",3.9,1
"Cafe, American, Continental, Nepalese",3.6,1
"Cafe, American, Desserts, Italian, Bakery",3.7,1
"Cafe, American, Italian",4.0,1
"Cafe, American, Italian, Continental",4.1,1
"Cafe, American, Italian, Filipino",3.6,1
"Cafe, American, Italian, North Indian, Chinese",3.7,1
"Cafe, American, Mexican, Italian, Thai",3.8,1
"Cafe, American, Tea",3.1,1
"Cafe, Asian, Italian, North Indian",4.2,1
"Cafe, Australian",3.7,1
"Cafe, Bakery",3.00625,16
"Cafe, Bakery, American, Italian",4.4,1
"Cafe, Bakery, Desserts",4.166666666666667,6
"Cafe, Bakery, Fast Food",1.7,2
"Cafe, Bakery, Italian",4.1,1
"Cafe, Bakery, Parsi",4.1,1
"Cafe, Bakery, Tea, Vegetarian",4.0,1
"Cafe, Belgian",3.9,1
"Cafe, Beverages",2.5,3
"Cafe, Beverages, Desserts, Pizza",4.0,1
"Cafe, British",3.7,1
"Cafe, Burger",4.55,2
"Cafe, Burger, Tapas, South African, European, Grill",3.9,1
"Cafe, Charcoal Grill, Steak",4.5,1
"Cafe, Chinese",3.266666666666667,6
"Cafe, Chinese, Continental",4.0,1
"Cafe, Chinese, Continental, Italian, Desserts, Beverages",3.2,1
"Cafe, Chinese, Fast Food",3.2999999999999994,3
"Cafe, Chinese, Fast Food, Italian",3.7,1
"Cafe, Chinese, Fast Food, Seafood",3.8,1
"Cafe, Chinese, Italian",2.65,4
"Cafe, Chinese, North Indian",3.3,1
"Cafe, Chinese, Thai, North Indian, Continental",4.0,1
"Cafe, Coffee and Tea, Modern Australian",3.8,1
"Cafe, Coffee and Tea, Sandwich",3.4,1
"Cafe, Coffee and Tea, Western",4.2,1
"Cafe, Continental",3.5583333333333336,12
"Cafe, Continental, Chinese",2.725,4
"Cafe, Continental, Chinese, Italian",4.199999999999999,2
"Cafe, Continental, Chinese, North Indian, Italian",3.6,1
"Cafe, Continental, Desserts",4.4,1
"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",3.9,1
"Cafe, Continental, European, Beverages",3.6,1
"Cafe, Continental, Fast Food",3.9499999999999997,2
"Cafe, Continental, Fast Food, Italian",1.85,2
"Cafe, Continental, Italian",4.08,10
"Cafe, Continental, Italian, Bakery",4.4,1
"Cafe, Continental, Italian, Chinese",3.6,1
"Cafe, Continental, Italian, Chinese, North Indian",4.2,1
"Cafe, Continental, Italian, Fast Food",3.7,1
"Cafe, Continental, Italian, Mexican",4.0,1
"Cafe, Continental, Italian, Mexican, Chinese, American",4.7,1
"Cafe, Continental, Italian, North Indian",3.45,2
"Cafe, Continental, Italian, Pizza",4.1,1
"Cafe, Continental, Italian, Street Food",4.0,1
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",3.7,1
"Cafe, Continental, North Indian",3.6,1
"Cafe, Continental, North Indian, Chinese",4.2,1
"Cafe, Continental, North Indian, Chinese, Mexican",4.0,1
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",3.8,1
"Cafe, Desserts",3.433333333333333,9
"Cafe, Desserts, Bakery",3.65,2
"Cafe, Desserts, Beverages",3.7,1
"Cafe, Desserts, Healthy Food, Juices",3.7,1
"Cafe, European",4.0,5
"Cafe, European, Mexican",4.4,1
"Cafe, Fast Food",3.461111111111111,18
"Cafe, Fast Food, American",3.8,1
"Cafe, Fast Food, Asian, Italian",2.8,1
"Cafe, Fast Food, Bakery",0.0,1
"Cafe, Fast Food, Beverages",3.8,1
"Cafe, Fast Food, Chinese",3.7,1
"Cafe, Fast Food, Continental",3.2,1
"Cafe, Fast Food, Desserts",3.5999999999999996,2
"Cafe, Fast Food, Healthy Food",4.1,1
"Cafe, Fast Food, Italian",4.25,2
"Cafe, Fast Food, Italian, Chinese",3.9499999999999997,2
"Cafe, Fast Food, Italian, Mexican",3.9,1
"Cafe, Fast Food, North Indian",3.8000000000000003,3
"Cafe, Fast Food, Pizza",3.4,1
"Cafe, Fast Food, Street Food",3.95,2
"Cafe, French",0.0,1
"Cafe, Grill",4.0,1
"Cafe, Healthy Food, Continental",3.8,2
"Cafe, Healthy Food, Continental, Italian, Asian",3.7,1
"Cafe, Healthy Food, North Indian",3.0,1
"Cafe, Italian",3.5833333333333335,12
"Cafe, Italian, Bakery",4.4,1
"Cafe, Italian, Chinese",3.5333333333333337,3
"Cafe, Italian, Chinese, Continental",3.9,2
"Cafe, Italian, Chinese, North Indian",3.65,2
"Cafe, Italian, Coffee and Tea, Western, Indonesian",4.6,1
"Cafe, Italian, Continental",4.1499999999999995,6
"Cafe, Italian, Continental, Chinese",3.5,2
"Cafe, Italian, Continental, Desserts",3.9,1
"Cafe, Italian, Continental, Fast Food",4.3,1
"Cafe, Italian, Continental, Mexican",4.1,1
"Cafe, Italian, Continental, Mexican, Mediterranean",3.6,1
"Cafe, Italian, Desserts",4.1,1
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.925,4
"Cafe, Italian, European, Bakery",4.1,1
"Cafe, Italian, Fast Food",3.9,2
"Cafe, Italian, Japanese, Continental",4.2,1
"Cafe, Italian, Lebanese",3.4333333333333336,3
"Cafe, Italian, Lebanese, Continental, Mediterranean",4.1,1
"Cafe, Italian, Mexican, Bakery",4.1,1
"Cafe, Italian, Mexican, Chinese",3.9,1
"Cafe, Italian, Mexican, Chinese, North Indian",3.3,1
"Cafe, Italian, Mexican, Continental",4.1,1
"Cafe, Italian, Mexican, North Indian, Continental",3.9,1
"Cafe, Italian, Mexican, Salad, Desserts",3.4,1
"Cafe, Italian, North Indian",3.6,1
"Cafe, Italian, Pizza",3.7,1
"Cafe, Italian, Pizza, European, Bakery, Deli",3.9,1
"Cafe, Italian, Salad",2.6,1
"Cafe, Kiwi",4.3,1
"Cafe, Kiwi, Ice Cream, Desserts",4.0,1
"Cafe, Korean",3.6,1
"Cafe, Korean, Desserts",4.5,1
"Cafe, Lebanese, Italian",3.8,1
"Cafe, Mediterranean",4.1,1
"Cafe, Mexican",2.1,2
"Cafe, Mexican, American, Italian, Lebanese, Continental",4.3,1
"Cafe, Mexican, Continental",0.0,1
"Cafe, Mexican, Italian, Continental",4.3,1
"Cafe, Mexican, Italian, Fast Food",3.8,1
"Cafe, Mexican, Italian, North Indian, Chinese",3.8,1
"Cafe, Mexican, Italian, North Indian, Fast Food",4.2,1
"Cafe, Mughlai, North Indian",3.2,1
"Cafe, North Eastern",0.0,1
"Cafe, North Indian",4.0,1
"Cafe, North Indian, Chinese",3.644444444444445,9
"Cafe, North Indian, Chinese, Continental",3.35,2
"Cafe, North Indian, Chinese, South Indian",3.2,1
"Cafe, North Indian, Continental",1.9666666666666668,3
"Cafe, North Indian, Continental, Chinese",3.7,2
"Cafe, North Indian, Continental, Italian",3.7,1
"Cafe, North Indian, Fast Food",3.05,2
"Cafe, North Indian, Italian",3.9,2
"Cafe, North Indian, Italian, Chinese",2.8,1
"Cafe, North Indian, Italian, Japanese, Fast Food",3.6,1
"Cafe, North Indian, Lebanese, Continental",3.5,1
"Cafe, Patisserie",4.1,1
"Cafe, Patisserie, Bakery, Desserts",4.4,1
"Cafe, Pizza",3.5,1
"Cafe, Pizza, Burger",4.0,1
"Cafe, Pizza, Italian",3.8,1
"Cafe, Sandwich, Southern",4.3,1
"Cafe, South Indian, North Indian, Bakery",3.5,1
"Cafe, Spanish, Turkish, Greek",3.2,1
"Cafe, Sri Lankan, Continental, American",4.0,1
"Cafe, Street Food",3.2,1
"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",4.5,1
"Cafe, Tea",3.375,20
"Cafe, Tea, Desserts",3.6,1
"Cafe, Tibetan",0.0,1
"Cafe, Western",4.3,1
Cajun,4.7,1
Caribbean,4.3,1
"Caribbean, Mexican, Cajun",3.8,1
"Caribbean, Seafood",4.3,1
"Caribbean, Seafood, Steak",3.5,1
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",4.4,1
Chinese,2.042090395480226,354
"Chinese, Asian",3.625,4
"Chinese, Asian, Mediterranean, Continental",3.9,1
"Chinese, Asian, Thai",3.7600000000000002,5
"Chinese, Assamese",3.3,1
"Chinese, Bakery",1.65,2
"Chinese, Beverages",3.35,2
"Chinese, Biryani, North Indian",3.0,1
"Chinese, Cafe",2.8,1
"Chinese, Cafe, Fast Food",3.2,1
"Chinese, Cafe, North Indian, Desserts",3.9,1
"Chinese, Canadian",3.0,1
"Chinese, Continental",3.6999999999999997,3
"Chinese, Continental, Italian, North Indian",3.1,1
"Chinese, Continental, Mexican",2.8,1
"Chinese, Continental, North Indian",2.85,6
"Chinese, Continental, North Indian, Mexican",4.1,1
"Chinese, Continental, North Indian, Mughlai",3.7,1
"Chinese, Continental, Singaporean",3.4,1
"Chinese, Continental, Thai",3.2,1
"Chinese, Dim Sum",4.75,2
"Chinese, Fast Food",2.055084745762712,118
"Chinese, Fast Food, Bakery",1.45,2
"Chinese, Fast Food, Ice Cream",3.3,1
"Chinese, Fast Food, North Indian",1.5166666666666666,6
"Chinese, Fast Food, North Indian, South Indian",3.4,1
"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",2.4,1
"Chinese, Fast Food, Pizza",0.0,1
"Chinese, Healthy Food",2.8,1
"Chinese, Indian",0.0,1
"Chinese, Italian",0.0,1
"Chinese, Italian, Continental",3.1,1
"Chinese, Italian, Continental, North Indian",3.9000000000000004,2
"Chinese, Italian, Fast Food",3.0666666666666664,3
"Chinese, Italian, North Indian",3.65,4
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",4.2,1
"Chinese, Japanese",3.4,2
"Chinese, Japanese, Italian, Seafood",3.5,1
"Chinese, Japanese, Korean, Asian",4.0,1
"Chinese, Japanese, Sushi",4.5,1
"Chinese, Japanese, Thai",3.5,4
"Chinese, Japanese, Thai, Asian",3.5,1
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6,1
"Chinese, Lucknowi",0.0,1
"Chinese, Mangalorean",3.7,1
"Chinese, Mexican, Fast Food, Continental",3.0,1
"Chinese, Mexican, Italian",3.0,1
"Chinese, Mithai",0.0,2
"Chinese, Mughlai",3.3000000000000003,3
"Chinese, Mughlai, North Indian",2.090909090909091,11
"Chinese, Naga",3.7,1
"Chinese, North Eastern",0.0,1
"Chinese, North Indian",1.9038095238095238,105
"Chinese, North Indian, Cafe",3.7,1
"Chinese, North Indian, Continental",3.6,1
"Chinese, North Indian, Continental, Italian",3.4,1
"Chinese, North Indian, Continental, Mexican",2.7,1
"Chinese, North Indian, Fast Food",2.183333333333333,6
"Chinese, North Indian, Fast Food, Italian",4.033333333333333,3
"Chinese, North Indian, Fast Food, Street Food",0.0,1
"Chinese, North Indian, Italian",2.475,4
"Chinese, North Indian, Italian, Continental",3.2,1
"Chinese, North Indian, Italian, Continental, Fast Food",3.2,1
"Chinese, North Indian, Italian, Fast Food",3.6,1
"Chinese, North Indian, Italian, Mexican",3.8,1
"Chinese, North Indian, Italian, Mughlai",3.0,1
"Chinese, North Indian, Mithai, Street Food",2.6,1
"Chinese, North Indian, Mughlai",2.5625,8
"Chinese, North Indian, Mughlai, Continental",3.266666666666667,3
"Chinese, North Indian, Mughlai, Pizza",0.0,1
"Chinese, North Indian, Seafood",2.8,1
"Chinese, North Indian, South Indian",1.0333333333333332,6
"Chinese, North Indian, South Indian, Fast Food",2.0,1
"Chinese, North Indian, South Indian, Healthy Food",3.1,1
"Chinese, North Indian, South Indian, Street Food",2.3,1
"Chinese, North Indian, Street Food",3.35,2
"Chinese, North Indian, Thai",3.5,1
"Chinese, Pizza",4.6,1
"Chinese, Seafood",3.4000000000000004,4
"Chinese, Seafood, Asian",4.05,2
"Chinese, Seafood, Cantonese, Dim Sum",3.9,1
"Chinese, Seafood, Japanese",2.8333333333333335,3
"Chinese, Seafood, North Indian, Biryani",4.2,1
"Chinese, Seafood, Thai",3.5,1
"Chinese, Seafood, Vegetarian",3.6,1
"Chinese, South Indian",1.5999999999999999,11
"Chinese, South Indian, Fast Food",1.475,4
"Chinese, South Indian, North Indian",2.066666666666667,3
"Chinese, Steak",4.6,1
"Chinese, Street Food",1.4,2
"Chinese, Sushi, Thai",4.2,1
"Chinese, Thai",3.3098039215686277,51
"Chinese, Thai, Asian",3.55,8
"Chinese, Thai, Asian, Japanese, Korean, Seafood",3.9,1
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",4.0,2
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",4.4,1
"Chinese, Thai, Continental, Fast Food, North Indian",3.9,1
"Chinese, Thai, Continental, North Indian",3.75,2
"Chinese, Thai, Fast Food",2.8,4
"Chinese, Thai, Japanese",4.1000000000000005,3
"Chinese, Thai, Japanese, Asian",4.4,1
"Chinese, Thai, Japanese, Tibetan",3.3499999999999996,2
"Chinese, Thai, Malaysian, Indonesian",3.3,1
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",3.8,1
"Chinese, Thai, North Indian",3.7,1
"Chinese, Thai, North Indian, Japanese",3.8,1
"Chinese, Thai, North Indian, South Indian",3.7,1
"Chinese, Thai, Seafood",3.4,3
"Chinese, Thai, Seafood, Naga",3.8,1
"Chinese, Thai, Seafood, North Indian, Italian",3.0,1
"Chinese, Thai, Sushi",3.95,2
"Chinese, Thai, Tibetan",4.2,1
"Chinese, Thai, Tibetan, Japanese",3.9,1
"Chinese, Tibetan",3.2,5
"Chinese, Tibetan, Fast Food",3.3,1
"Chinese, Tibetan, Japanese",3.6,1
"Coffee and Tea, Cuban, Latin American",3.9,1
"Coffee and Tea, Desserts",4.3,1
"Coffee and Tea, Desserts, Beverages",3.7,1
"Coffee and Tea, Mediterranean",4.3,1
"Coffee and Tea, Modern Australian",2.4,1
"Coffee and Tea, Sandwich",3.5999999999999996,2
"Coffee and Tea, Tapas, Australian",3.6,1
"Coffee and Tea, Tea, Modern Australian",3.6,1
Contemporary,4.5,1
"Contemporary, Burger, European",4.0,1
"Contemporary, Italian",4.8,1
"Contemporary, Sushi, Grill, Italian, Steak",3.4,1
Continental,3.566666666666667,21
"Continental, American",3.9200000000000004,5
